Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
8,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.3426384925842285
54,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.3584449291229248
57,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.36791110038757324
11,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.37455058097839355
15,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.393359899520874
40,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.45037031173706055
94,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.4583902359008789
76,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.48236966133117676
63,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.4887223243713379
91,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.5031132698059082
51,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.506742000579834
81,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.5360214710235596
47,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.5464520454406738
95,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.7051293849945068
36,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.8091177940368652
70,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],500,50,0.2,40,0.9860780239105225
80,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,0.3184084892272949
60,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,0.4878573417663574
28,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,0.5075325965881348
29,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,0.6631717681884766
75,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,0.830620288848877
0,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,0.9473528861999512
50,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,1.3079917430877686
1,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,1.369551420211792
25,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],500,50,0.2,40,1.7911803722381592
19,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500,50,0.2,40,0.3349153995513916
43,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500,50,0.2,40,0.3844025135040283
56,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500,50,0.2,40,0.39720892906188965
32,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500,50,0.2,40,0.42481279373168945
82,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500,50,0.2,40,0.4248836040496826
7,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],500,50,0.2,40,0.4777817726135254
