Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
18,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.01578664779663086
63,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.016986370086669922
85,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.017076969146728516
20,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.0242159366607666
59,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.025621652603149414
78,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.02655935287475586
67,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.027396440505981445
79,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.027884483337402344
49,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.029762744903564453
8,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.03045201301574707
29,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],2000,200,0.9,200,0.04148077964782715
32,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.017533063888549805
47,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.018568038940429688
48,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.022496938705444336
74,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.024065494537353516
76,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.02573704719543457
95,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.026414871215820312
53,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.026533126831054688
38,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.031193971633911133
89,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.032794952392578125
6,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.033713340759277344
37,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],2000,200,0.9,200,0.04953479766845703
41,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],2000,200,0.9,200,0.016819477081298828
25,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],2000,200,0.9,200,0.019459247589111328
14,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],2000,200,0.9,200,0.019484758377075195
10,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],2000,200,0.9,200,0.01981210708618164
13,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],2000,200,0.9,200,0.02064371109008789
68,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],2000,200,0.9,200,0.03908395767211914
5,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],2000,200,0.9,200,0.01674032211303711
55,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],2000,200,0.9,200,0.01891350746154785
62,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],2000,200,0.9,200,0.022037506103515625
90,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],2000,200,0.9,200,0.023585796356201172
33,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],2000,200,0.9,200,0.0433199405670166
4,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],2000,200,0.9,200,0.018985748291015625
80,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],2000,200,0.9,200,0.021178722381591797
