Execução,Distância Total,Melhor Caminho,Tempo de Execução
92,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.0015406608581542969
90,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.0017547607421875
97,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.002254009246826172
36,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.004944562911987305
0,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.009297370910644531
55,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.010447502136230469
12,55.86426018969545,[0 6 7 8 4 2 9 1 5 3],0.011901378631591797
83,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.0021584033966064453
99,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.002553224563598633
78,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.002602815628051758
67,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.0027420520782470703
54,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.0035719871520996094
56,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.004591226577758789
32,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.0048639774322509766
24,55.932258751388076,[1 5 3 0 6 7 8 4 2 9],0.007457733154296875
81,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],0.001844167709350586
64,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],0.0019731521606445312
71,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],0.002241373062133789
49,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],0.0035305023193359375
16,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],0.009450197219848633
60,55.96144453548096,[3 5 1 9 2 4 8 7 6 0],0.013310670852661133
75,56.127022539849634,[2 9 8 4 7 6 0 3 5 1],0.0019659996032714844
43,56.127022539849634,[2 9 8 4 7 6 0 3 5 1],0.0032529830932617188
34,56.127022539849634,[2 9 8 4 7 6 0 3 5 1],0.0036573410034179688
33,56.127022539849634,[2 9 8 4 7 6 0 3 5 1],0.0038709640502929688
58,56.127022539849634,[2 9 8 4 7 6 0 3 5 1],0.019414663314819336
3,56.33484081002699,[9 2 4 8 7 6 0 3 5 1],0.004572629928588867
73,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.0017027854919433594
72,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.0017218589782714844
69,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.001972675323486328
85,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.0021674633026123047
74,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.002239227294921875
89,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.0023577213287353516
39,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.0037889480590820312
46,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.005861759185791016
57,56.722518080023924,[3 5 1 9 0 6 7 8 4 2],0.01305842399597168
65,57.051306591014196,[1 5 3 0 8 4 7 6 9 2],0.0014090538024902344
35,57.14505552341413,[2 4 8 7 6 0 9 1 5 3],0.0031893253326416016
28,57.14505552341413,[2 4 8 7 6 0 9 1 5 3],0.0035088062286376953
29,57.14505552341413,[2 4 8 7 6 0 9 1 5 3],0.003682851791381836
38,57.14505552341413,[2 4 8 7 6 0 9 1 5 3],0.004243135452270508
20,57.14505552341413,[2 4 8 7 6 0 9 1 5 3],0.014911413192749023
51,57.237084937063194,[2 9 6 8 4 7 0 3 5 1],0.0028378963470458984
47,57.237084937063194,[2 9 6 8 4 7 0 3 5 1],0.003335714340209961
15,57.237084937063194,[2 9 6 8 4 7 0 3 5 1],0.012873411178588867
17,57.70485724506395,[2 9 6 7 8 4 0 3 5 1],0.00774383544921875
88,58.70324342055582,[2 9 1 5 3 0 6 7 8 4],0.0028791427612304688
9,58.70324342055582,[2 9 1 5 3 0 6 7 8 4],0.003409862518310547
21,58.70324342055582,[2 9 1 5 3 0 6 7 8 4],0.003965616226196289
44,58.70324342055582,[2 9 1 5 3 0 6 7 8 4],0.007306337356567383
19,58.70324342055582,[2 9 1 5 3 0 6 7 8 4],0.011183977127075195
77,59.10896730529407,[4 8 7 6 0 3 5 1 9 2],0.002245664596557617
22,59.475493745489196,[3 0 6 7 8 4 2 9 5 1],0.003995656967163086
6,59.475493745489196,[3 0 6 7 8 4 2 9 5 1],0.0169069766998291
93,59.95075425032861,[1 5 3 0 6 9 2 4 8 7],0.0016970634460449219
13,60.15133456280881,[3 5 1 9 2 6 0 7 8 4],0.003939628601074219
10,60.15133456280881,[3 5 1 9 2 6 0 7 8 4],0.010614633560180664
37,60.19304730077906,[7 8 4 2 9 6 0 3 5 1],0.002701997756958008
66,60.332091033339005,[4 8 7 0 6 2 9 1 5 3],0.0022661685943603516
96,60.332091033339005,[4 8 7 0 6 2 9 1 5 3],0.002293109893798828
53,60.332091033339005,[4 8 7 0 6 2 9 1 5 3],0.005873918533325195
26,60.50829046194357,[6 7 8 4 2 9 0 3 5 1],0.0033812522888183594
50,60.637162528232096,[4 7 8 2 9 6 0 3 5 1],0.010826587677001953
80,62.4233201111451,[1 5 3 8 4 7 6 0 9 2],0.0018930435180664062
18,62.4233201111451,[1 5 3 8 4 7 6 0 9 2],0.0028777122497558594
