Execução,Distância Total,Melhor Caminho,Tempo de Execução
63,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],0.0041370391845703125
40,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],0.004701375961303711
75,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],0.005077838897705078
0,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],0.005082607269287109
26,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],0.005263090133666992
87,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.002728700637817383
96,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.002795696258544922
18,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.0029549598693847656
80,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.0031533241271972656
12,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.003345012664794922
39,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.0036211013793945312
81,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.003812551498413086
59,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.0040912628173828125
51,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.004200935363769531
83,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],0.005148410797119141
84,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0028693675994873047
62,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0029032230377197266
47,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0030853748321533203
33,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.003144979476928711
73,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.003305196762084961
49,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0035986900329589844
25,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0036454200744628906
21,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0036919116973876953
82,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0037081241607666016
93,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.003801584243774414
77,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.0038716793060302734
28,58.23208204172836,[4 0 5 6 2 9 3 8 1 7],0.004269599914550781
20,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],0.0027780532836914062
89,58.41040147198835,[4 0 5 6 2 9 8 3 7 1],0.0033218860626220703
32,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],0.0030927658081054688
27,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],0.0036427974700927734
8,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],0.004281282424926758
38,58.48238746408419,[7 1 8 3 9 2 6 5 0 4],0.011070489883422852
98,62.204083691391446,[6 0 5 2 9 8 3 7 1 4],0.0023093223571777344
22,62.3142352389241,[1 4 0 5 6 2 9 8 3 7],0.0032329559326171875
