Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
49,242.7018687081226,"[34 25 35 16 41 28 33  2 42 20  0 14 22 24 48 12 45 10 30  6 46 40  5 27
 13  1 17 47 44  8 37 31 26  9 29 19  3  4 49  7 21 43 32 38 23 36 11 39
 18 15]",2500,400,0.95,200,0.1645042896270752
91,242.9547743726371,"[39 11 22 14  0  5 40  6 46 34 25 35 20 27 30 10 45  1 12 15 48 36 18 24
  4  9 26 29 19  3 13  8 37 38 21 43 32 49 28 41 16 42  7 33  2 23 47 44
 31 17]",2500,400,0.95,200,0.1051328182220459
35,246.82976944282282,"[19 29  9 44 28 49  2 35 33  7 38 32 43 21 37  8 31 17 26 13 36 18 39 45
 11 15  1 24 48 12  3  4 47 16 41 34 25 23 42 30 10  6 46 40  5 27 20 22
  0 14]",2500,400,0.95,200,0.3048858642578125
8,248.38811096165085,"[34 25 35 29 19  3 48 18 36 39 45 11 22  4 26  9 17 31 47 44 38 43 21 32
 16 28 41  8 13  1 24 15 12 10 30  5  6 40 46  0 14 27 20 42 49  7 33  2
 23 37]",2500,400,0.95,200,0.1929490566253662
21,248.85216538767077,"[17 44 47 31 37  8 41 16 28 32 43 21 38 49  7  2 35 46  6 40  5 13 24 15
  1  4 26  9 29 19  3 33 25 34 27  0 14 20 23 42 22 45 48 12 18 36 11 39
 10 30]",2500,400,0.95,200,0.19346833229064941
36,249.5563539567127,"[21 43  7 34 25 35 33  2 23 41 28 16 38 32 49 42 46 40  6  5 14 20  0 27
 22 47 17  9 26  4 11 39 18 12  3 29 19  1 13 31 37  8 44 24 15 48 36 45
 30 10]",2500,400,0.95,200,0.46411609649658203
54,250.2237831910572,"[42 33  7 49  2 34 25 35 22 45 10 30 27 23 44  8 37 31  9 26 17  4 47 41
 38 32 43 21 29  3 19 12 48 24 13 16 28 20 14  0  5  6 46 40 11 39 18 36
 15  1]",2500,400,0.95,200,0.3937516212463379
44,255.11353322354887,"[48 15 19 29  3  4 37  8 20 22 30 10 45 11 39 18 36 12 24  5  6 40 46 27
  0 14  1 13 47 41 16 38 32 31  9 26 17 44 28 49  2 23 42 34 25 35 21 43
  7 33]",2500,400,0.95,200,0.1223609447479248
95,255.70642498632432,"[35 34 25  2 33  7 21 43 32 38 16  4 13  1 14 27  0 11 36 45 10 30  6 46
 40  5 39 18 48 12 15 26 17 47 41 28 49  8 37 31 44 23 42 20 22 24  3  9
 29 19]",2500,400,0.95,200,0.3208465576171875
18,256.09992417326856,"[48 15 26 17 20 14  0 42  2  7 49 41 31  9 29 19  3 13 23 28 16  8 37 44
 47  4  1 11 39 18 36 24 12 22 27  5 30 10 45 33 21 43 32 38 34 25 35  6
 40 46]",2500,400,0.95,200,0.2075965404510498
88,256.280620976222,"[40 46  6  5 22 12 15  1 13  4 47 42 11 18 36 48 24 44 37  8 26 29 19  3
 39 45 30 10  0 27 14 20 35 34 25 33  2 23 41 28 49  7 38 43 32 16 17  9
 31 21]",2500,400,0.95,200,0.15880417823791504
52,257.073708593154,"[39 45 10 30  0 22 24 15 12 48 36 11 18  1 13  9 29 19  3 26 17 31 44 16
 28 41 47  4 20 27 14 23  8 37 49 33 46 40  6  5 32 43 38 25 34 35  2 42
  7 21]",2500,400,0.95,200,0.5516934394836426
