Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução,Algoritmo,Semente,Temperatura,Resfriamento
61,160.9967920851563,"[17 30 42 40 24 29  2  9 45 46 25 37 27 19  4 38 39 36 15 47 16 12  6 20
  0 26 10  5 31 49  3 48  8 34 22 32 28 18 14 33 44  7 13 35 21 43  1 11
 41 23]",550.0,400.0,0.2,30.0,31.34361720085144,Algoritmo Genético,14,,
13,164.10315517871211,"[ 8 48 34 22 32 33 44  7 13 14 18 28 35  3  9 45 31 40 24 29  2 49 11 21
 43  1 41 23 46 25 37 27 19  4 38 39 36 15 47 16 20  0 26 10  5 12  6 42
 30 17]",550.0,400.0,0.2,30.0,41.999298095703125,Algoritmo Genético,14,,
4,164.9496856738448,"[17 30 42  6 12 16 20  0 26 10  5 31 40 24 29  2 49  3 34 48  8  9 45 11
  1 43 21 22 32 35 28 18 14 13 33 44  7 41 23 46 25 37 27 19  4 38 39 36
 15 47]",550.0,400.0,0.2,30.0,45.71861028671265,Algoritmo Genético,14,,
55,165.23817689842195,"[44 33  7 13 14 18 28 35 32 22 34 48  8  9 45 26 20  0 10  5 31 24 40 42
 17 30  6 12 16 47 15 36 39 38  4 19 27 46 37 25 23 41 11  1 43 21  3 49
  2 29]",550.0,400.0,0.2,30.0,44.558565855026245,Algoritmo Genético,14,,
25,167.17184421984308,"[17 30 12  6 42 40 24 29  2 49  3 34 48  8  9 45  4 38 39 36 15 47 16 20
  0 26 10  5 31 19 27 37 25 46 23 41 11 22 32 35 28 18 14 13 33 44  7 21
  1 43]",550.0,400.0,0.2,30.0,34.09221792221069,Algoritmo Genético,14,,
38,168.37992950708127,"[44 33  7 13 14 18 28 35 32 22  3 49 31  2 29 24 40 42 17 30  6 12  5 10
 26  0 20 16 47 15 36 39 38  4 19 27 11  1 43 21 34 48 45  9  8 41 23 46
 37 25]",550.0,400.0,0.2,30.0,44.4518563747406,Algoritmo Genético,14,,
90,168.7286692422612,"[40 33 44  7 13 14 18 28 35 22 32 21 43  1 11 41 23 46 25 37 27 19  4 38
 39 36 15 47  0 20 16 12  6 17 30 42  5 10 26 45  9  8 48 34  3 49  2 29
 24 31]",550.0,400.0,0.2,30.0,43.13367033004761,Algoritmo Genético,14,,
29,169.25456526608457,"[17 30 42  5 10 26  0 16 12  6 40 24 29  2 49  9 45 19 27 37 25 46 23 41
 11  1 43 21 34 48  8  4 38 39 36 15 47 20 31  3 22 32 35 28 18 14 13  7
 33 44]",550.0,400.0,0.2,30.0,39.19138288497925,Algoritmo Genético,14,,
93,169.66586866514024,"[44 33  7 13 14 35 32 22 34  8 48  3  9 49  2 29 24 31  5 10 26  4 38 39
 36 15 47  0 20 16 12  6 17 30 42 40 45 19 27 37 25 46 23 41 11  1 43 21
 28 18]",550.0,400.0,0.2,30.0,33.6782329082489,Algoritmo Genético,14,,
26,177.4307625428727,"[44 33  7 13 14 35 32 22 28 18 40 24 29  2 49  3 34 21 43  1 11 41 23 46
 25 37 27 19  8 48  9 45 31 10  0 20 16 47 26  5 42 17 30  6 12 15 36 39
 38  4]",550.0,400.0,0.2,30.0,43.7201361656189,Algoritmo Genético,14,,
77,177.4766094602839,"[44 33  7 13 14 18 28 35 32 22 34 48  8 11  1 43 21  3 49 31  2 29 24 40
 17 30 42  9 45  4 38 39 36 15 47 12  6 16 20  0 26 10  5 19 27 46 37 25
 23 41]",550.0,400.0,0.2,30.0,41.694536447525024,Algoritmo Genético,14,,
36,179.2419775846368,"[36 15 47 16 20  0 10 26 39 38  4 19 27 37 25 46 23 41 11 22 32 35 28  3
 31  5 12  6 17 30 42 40 24 29  2 49  9 45  8 48 34 18 14 13 33 44  7 21
  1 43]",550.0,400.0,0.2,30.0,42.041903018951416,Algoritmo Genético,14,,
14,179.3189060241104,"[27 19 37 25 46 23 41 21 32 22 35 33 44  7 13 14 18 28  3 34 48  8  9 45
  4 38 39 36 15 47 20  0 10  5 31 49  2 29 24 40 42 17 30  6 12 16 26 11
  1 43]",550.0,400.0,0.2,30.0,33.52352714538574,Algoritmo Genético,14,,
21,179.51560059582076,"[17 30  6 12 16 20  0 26 10  5 45 28 18 14 33 44  7 13 35 32 22 34 48  9
 31 42 40 24 29  2 49  3  8 37 25 46 23 41 11 21 43  1 27 19  4 38 39 36
 15 47]",550.0,400.0,0.2,30.0,39.28548312187195,Algoritmo Genético,14,,
56,179.5231199398007,"[36 39 15 47 16 20  0 10  5 42 40 24 29  2 49  9 45 23 41 11  1 43 21 32
 28 18 14 33 44  7 13 35 22 34  8 48  3 31 12  6 17 30 26 38  4 19 27 46
 37 25]",550.0,400.0,0.2,30.0,31.40310478210449,Algoritmo Genético,14,,
67,179.64199991297374,"[25 37 46 27 19  4 26  0 20 16 47 12  6  5 10 15 36 39 38 45  9 31 40 24
 29  2 49  3 48  8 34 22 32 28 18 14 13 33 44  7 35 21 43  1 11 41 23 42
 30 17]",550.0,400.0,0.2,30.0,28.63065934181213,Algoritmo Genético,14,,
65,180.36961927442604,"[44 33  7 13 14 18 28 35 21 11 41 23 45  9 31  5 10 26 47 15 36 39 38  4
 19 27 37 25 46  1 43  8 48 34 32 22  3 49  2 29 24 40 42 17 30  6 12 16
 20  0]",550.0,400.0,0.2,30.0,36.75148034095764,Algoritmo Genético,14,,
74,181.4118881683235,"[14 18 28 21 43  1 11  8 48 34  3  9 45 31  5 10 26  0 20 16 47 15 36 39
 12  6 17 30 42 40 24 29  2 49 22 32 35 13 33 44  7 41 23 46 25 37 27 19
  4 38]",550.0,400.0,0.2,30.0,37.45599627494812,Algoritmo Genético,14,,
22,181.49159252800504,"[12  6 17 30 42  5 10  0 16 20 26 45  9  8 48 34 11 21 43  1 41 23 46 25
 37 27 19 22 32 28 18 14 13 33 44  7 35  3 49 29 40 24  2 31  4 38 39 36
 15 47]",550.0,400.0,0.2,30.0,29.303998708724976,Algoritmo Genético,14,,
99,181.51687448994545,"[ 6 12 16 15 47 20  0 26 10  5  3 28 18 33 44  7 13 14 35 32 22 21  1 43
 11 41 23  9 31 42 17 30 40 24 29  2 49 34 48  8 45 19 27 46 25 37  4 38
 39 36]",550.0,400.0,0.2,30.0,43.77374267578125,Algoritmo Genético,14,,
8,182.05431534336768,"[44 33  7 11 41 23 46 25 37 27 19 45  9  8 48 34 35 13 14 28 18 40 42 17
 30  6 12  5 10 26  0 20 16 47 15 36 39 38  4 31 24 29  2 49  3 22 32 21
  1 43]",550.0,400.0,0.2,30.0,33.95046353340149,Algoritmo Genético,14,,
96,182.10775606687696,"[44 33  7 43  1 21 34  8 48  3 22 32 35 13 14 18 28 11 41 23 46 25 37 27
 19  4 10 26  0 20 16 12  6 24 29  2 31  5 47 15 36 39 38 45  9 49 40 42
 30 17]",550.0,400.0,0.2,30.0,32.24722361564636,Algoritmo Genético,14,,
17,182.53631272792416,"[36 39 15 47 16 42 24  2 31  9 45  5 12  6 17 30 40 29 49  3 34 48  8 11
 21 22 32 35 28 18 14 13 33 44  7 43  1 41 23 46 25 37 27 19  4 38 26 10
  0 20]",550.0,400.0,0.2,30.0,37.43010950088501,Algoritmo Genético,14,,
58,182.5815689954835,"[43  1 23 46 25 37 27 19  4 26 10  5  6 17 30 42 40 24 29  2 49  3 28 18
 35 13 14 33 44  7 22 32 21 11 41  8 34 48  9 31 45 38 39 36 15 47  0 20
 16 12]",550.0,400.0,0.2,30.0,37.11981916427612,Algoritmo Genético,14,,
81,182.88010080487143,"[38 39 36 15 47 20  0 10 26  9 48  3 49  2 29 24 40 42  6 12 16  5 31 45
  4 19 27 37 25 46 23 41 11  1 43 21 22 28 18 14 13 33 44  7 35 32 34  8
 30 17]",550.0,400.0,0.2,30.0,30.056676864624023,Algoritmo Genético,14,,
69,183.48326339595675,"[17 30 42 40 24 29  2 49  3 48  8 45 26 10  5  6 12 16 20  0 31  9 34 22
 28 18 14 35 32 21 43  1 11 41 23 19 27 46 25 37  4 38 39 36 15 47 13  7
 33 44]",550.0,400.0,0.2,30.0,38.674028635025024,Algoritmo Genético,14,,
49,183.85269659274627,"[36 39 15 47  0 20 16 12  6 31 45  4 38 26 10  5 42 17 30 40 24 29  2 49
  9 19 27 25 37 46 23 41 21 35 13 33 44  7 14 18 28 22 32 43  1 11  8 48
 34  3]",550.0,400.0,0.2,30.0,25.99882698059082,Algoritmo Genético,14,,
80,184.26649728672004,"[44 33  7 13 14 35 11 23 41  1 43 21 29 24 40 42 17 30  6 12 16 47 20  0
 10  5 26 15 36 39 38  4  8 48 34 22 32 18 28  3 49  2 31  9 45 19 27 46
 37 25]",550.0,400.0,0.2,30.0,37.59950137138367,Algoritmo Genético,14,,
79,185.4706113474989,"[44 33  7 13 14 18 28  0 20 15 36 39 47 16 12  6 17 30 42  5 10 26 38  4
 19 27 37 25 46 23 41 11 45  9 31  2 40 24 29 49  3 48  8 34 22 32 35 21
  1 43]",550.0,400.0,0.2,30.0,33.19049382209778,Algoritmo Genético,14,,
11,185.5043452291765,"[17 30 42  6 12  5 10 26 39 36 15 47 16 20  0 38  4 19 46 25 37 27 45 31
  9 48 34  8  2 40 24 29 49  3 22 32 21  1 43 35 28 18 14 13 33 44  7 11
 41 23]",550.0,400.0,0.2,30.0,33.82137107849121,Algoritmo Genético,14,,
62,187.22869710970747,"[ 0 20 16 47 15 12  6 17 30 42 40 24 29  2 49  3 21 43  1 41 23 27 19  4
 38 36 39 37 25 46 11 22 32 35 13 33 44  7 14 18 28 34 48  8  9 45 31  5
 10 26]",550.0,400.0,0.2,30.0,35.79086875915527,Algoritmo Genético,14,,
19,187.52421737512924,"[41 11  1 43 21 22 32 35 28 34  8 48  3 49  9 45 23 46 25 37 27 19  4 38
 39 36 15 47 26 10  5 31  2 18 14 33 44  7 13 29 24 40 42 17 30  6 12 16
 20  0]",550.0,400.0,0.2,30.0,43.48347854614258,Algoritmo Genético,14,,
5,187.53692035533533,"[44 33  7 13 14 18 28 35 32 22 34  3 29 40 24  2 49 11  1 43 21 48  8  9
 45  5 10 26  0 20 16 47 15  4 38 39 36 12  6 17 30 42 31 19 27 41 23 46
 37 25]",550.0,400.0,0.2,30.0,31.876803636550903,Algoritmo Genético,14,,
12,187.94060249657636,"[36 15 47  0 20 16 12  6 17 30 42  5 10 26 39 38  4 19 27 23 41 11 21 34
  8 48  3 31 40 24 29  2 49 28 18 14 33 44  7 13 35 22 32 43  1  9 45 46
 37 25]",550.0,400.0,0.2,30.0,32.59268045425415,Algoritmo Genético,14,,
64,188.1776174356785,"[44 33  7 13 14 35 11 41 23 27 45  9  3 49 31  2 29 24 40 42 17 30  6 12
 36 39 15 47 16 20  0 10  5 26 38  4 19 37 25 46  8 48 34 22 28 18 32 21
  1 43]",550.0,400.0,0.2,30.0,44.101439476013184,Algoritmo Genético,14,,
95,188.44057669197767,"[17 30 40 24  2 29 18 14 13 33 44  7 35 28 32 22 34 48  8  9 31  5 10 26
  0 20 16 47 15 36 39 38  4 19 27 11 21 43  1  3 49 42  6 12 45 41 23 46
 37 25]",550.0,400.0,0.2,30.0,36.99165415763855,Algoritmo Genético,14,,
42,188.5911435510785,"[22 32 35 33 44  7 13 14 28 18 40 24 29  2 31 10 26  0 20 16 47 15 36 39
 38  4 19 27 46  8 48 34  3 49  9 45 37 25 23 41  1 43 21 11  5 12  6 42
 30 17]",550.0,400.0,0.2,30.0,38.4594829082489,Algoritmo Genético,14,,
57,188.69561000987267,"[17 30 42  6 12 16 20  0 47 15 36 39 26 10  5 31 40 24 29  2 49  3  8 11
  1 43  9 45 19 27 46 23 41 21 32 28 18 14 33 44  7 13 35 22 34 48 38  4
 37 25]",550.0,400.0,0.2,30.0,28.627474784851078,Algoritmo Genético,14,,
50,188.6967045094713,"[36 39 15 47 16 20  0 10 31  9 48 34  8 21  1 43 11 45  5 26 12  6 17 30
 42 40 24 29  2 49  3 22 32 41 23 46 25 37 27 19  4 38 35 28 18 14 13  7
 33 44]",550.0,400.0,0.2,30.0,43.974830627441406,Algoritmo Genético,14,,
78,188.90781468197704,"[44 33  7 13 14 35 32 22 34 48  8  9 31  2 29 24  6 12 47 15 36 39 38  4
 19 27 23 41 11  1 43 21 18 28  3 49  5 10 26  0 16 20 37 25 46 45 40 42
 30 17]",550.0,400.0,0.2,30.0,40.62101888656616,Algoritmo Genético,14,,
86,189.16593131514765,"[27 19 11  1 43 21 28 18 14 13 33 44  7 35 32 22  3 49 29 40 24  2 31 45
  4 38 15 47 16 20  0 12  6 17 30 42  5 10 26  9 48 34  8 41 23 46 25 37
 39 36]",550.0,400.0,0.2,30.0,34.869285583496094,Algoritmo Genético,14,,
66,189.94762139938345,"[17 30  5 10  0 47 15 36 39 38  4 45  9 31 29 24 40 42  6 12 16 20 26 19
 27 46 23 41 11 21 32 22 34 48  8  2 49  3 28 18 14 13 33 44  7 35 43  1
 37 25]",550.0,400.0,0.2,30.0,44.69039583206177,Algoritmo Genético,14,,
40,191.56274531495467,"[36 39 15 47 16 20  0 10 26 31  2 29 24 40 42 17 30  6 12  5 45 23 41 11
 22 32 35 13 14 33 44  7 18 28  3 49  9 38  4 19 27 37 25 46  1 43 21 34
 48  8]",550.0,400.0,0.2,30.0,36.01612854003906,Algoritmo Genético,14,,
71,192.234294077308,"[17 30 40 24 29  2 31 46 25 37 27 19  4 38 26  0 20 16 10  5 48 34  8 49
 42  6 12 47 15 36 39 45  9  3 18 28 22 32 35 14 13  7 33 44 21 43  1 11
 41 23]",550.0,400.0,0.2,30.0,36.300591230392456,Algoritmo Genético,14,,
72,192.3700636141776,"[17 30  5  0 20 47 16 12  6 42 40 24 29  2 49 31 45  9  3 48  8 34 22 28
 35 32 21 43  1 11 41 23 27 19  4 38 39 36 15 26 10 18 14 13 33 44  7 46
 37 25]",550.0,400.0,0.2,30.0,38.2277295589447,Algoritmo Genético,14,,
47,192.6115017474518,"[36 39 15 47 12 16 20  0 26 10  5 49  3 18 28 22 34 48  8 45 38  4 19 46
 25 37 27  9 31  6 17 30 42 40 24 29  2 11 23 41  1 43 21 32 35 14 13  7
 33 44]",550.0,400.0,0.2,30.0,34.134928703308105,Algoritmo Genético,14,,
9,192.75194403283535,"[41 23 25 37  4 38 26 16 12  6 17 30 42 40 24 29  2 49  3 35 33 44  7 13
 14 18 28 48  8 45 19 27 46 39 36 15 47 20  0 10  5 31  9 34 22 32 21 43
  1 11]",550.0,400.0,0.2,30.0,30.685079336166385,Algoritmo Genético,14,,
51,193.0101854366385,"[25 37 38 39 36 15 47 26  5  2 29 24 40 42 17 30  6 12 16 20  0 10 31 49
  3 22 32 21  1 43 35 28 18 14 13 33 44  7 11 41 23 46 27 19  4 45  9 48
 34  8]",550.0,400.0,0.2,30.0,35.47524285316467,Algoritmo Genético,14,,
31,193.10116104888013,"[41 23 46 25 37 27 19 45  9  8 48 34 32 22  3 49  2 31 29 24 40 17 30 42
  5 10 26  0 20 16 47 36 39 15 12  6 38  4 28 18 14 13 33 44  7 35 21 43
  1 11]",550.0,400.0,0.2,30.0,36.50664615631104,Algoritmo Genético,14,,
39,193.25190913663704,"[44 33  7 13 14 35 22 32 21 43  1 41 11  8 48 34  3  5  6 12 16 47 15 36
 39 20  0 10 26 38  4 31 24 29  2 49 18 28 23 46 25 37 27 19 45  9 40 42
 30 17]",550.0,400.0,0.2,30.0,32.34849667549133,Algoritmo Genético,14,,
1,193.67328408539316,"[25 37 46  4 38 16 12  6 17 30 42 40 24 29  2 49  9 45 48  3 34  8 23 41
 11 21 22 32 35 28 18 14 13 33 44  7 43  1 31  5 10 26  0 20 47 15 36 39
 27 19]",550.0,400.0,0.2,30.0,40.55717349052429,Algoritmo Genético,14,,
2,193.75680608349307,"[44 33  7 13 14 18 28 35 32 22 34 48  8  9 45  4 38 39 36 15 47 16 20  0
 42 40 24 31 10 26 11  1 43 21  3 49  2 29 17 30  6 12  5 19 27 37 25 46
 23 41]",550.0,400.0,0.2,30.0,46.25837182998657,Algoritmo Genético,14,,
46,194.5152574187512,"[30 17 42  0 20 16 15 47 26 10  5  3 28 18 14 33 44  7 13 35 32 22 34 48
  8 37 25 46 23 41  1 43 21 11  9 49  2 29 24 40  6 12 36 39 38  4 19 27
 45 31]",550.0,400.0,0.2,30.0,36.533541202545166,Algoritmo Genético,14,,
32,194.8305480023752,"[36 39 15 47 20 16 12  6 17 30 42 40 31  9 45  8 48 34 22 32 21 11 27 19
  4 38 26  0 10  5 37 25 46 23 41  1 43 35 13 14 18 28  3 49  2 24 29  7
 33 44]",550.0,400.0,0.2,30.0,31.58713841438293,Algoritmo Genético,14,,
33,195.1890849232377,"[42 40 24 29  2 49  3 28 18 14 33 44  7 13 35 32 22 34  8 48  9 45 10  0
 20 16 47 15 12  6  5 26  4 38 36 39 46 37 25 23 19 27 41 11  1 43 21 31
 30 17]",550.0,400.0,0.2,30.0,35.17124557495117,Algoritmo Genético,14,,
