Execução,Distância Total,Melhor Caminho,Tempo de Execução
90,197.5964131321163,"[ 2 33 13 28 39  9 20 37 23 48 47 12 32 21 45 17 40 49 24 31 19  4 16  8
  7  6 46  0 18 41 22 36 38 29 34 44 35 10 43 30 11 27 26  5  1 25 42 14
  3 15]",1.0501649379730225
68,199.4770717064353,"[32 21 45 17 40 49 48 23 37 41 18 22  0 46 10 43 30  9 36 38 28  7  8 16
  4 13 33  2 29 34 44 39 35 20 26 27 11  6 19 31 24 14 42  5  1 25 15  3
 47 12]",1.0666229724884033
92,202.2388899963126,"[ 6 10 35  9 26 14  3 42  5  1 25 15 47 48 37 41  0 46  7  8 16  4 13 33
  2 29 36 38 34 44 39 28 19 31 24 18 22 43 30 11 20 27 23 49 40 17 45 21
 32 12]",1.6834447383880615
22,203.27023144977946,"[15  3 14 23 49 40 17 48 47 12 32 21 45  0 46 10  6  7  8 16 28 39 35 20
  5  1 26 27 11  9 44 34 38 36 29  2 33 13  4 19 31 24 18 41 37 22 43 30
 42 25]",1.0602645874023438
65,205.1698834562328,"[31 19 46  0 22 43 30 11 35  2 33 13 28 37 23 40 17 47 48 14 26 27 20  9
 39 16  8  4  7  6 10 44 34 29 38 36  1  5 25 42  3 15 12 32 21 45 49 41
 18 24]",1.693516731262207
20,206.1724423204426,"[12 32 21 45 17 40 49 23 14 27 18 24 31 19  7  8  4 16 39  9  6 10 43 30
 11 36 38 44 34 29  2 33 13 28 35 20 26  5  1 25 42 15  3 47 48 37 41 22
  0 46]",0.9870903491973877
15,208.02719311152177,"[46  0 43 30 35 39 34 38 36 20 11 37 23  3 15 42 25  1  5 14 48 47 12 32
 21 45 17 40 49 41 18 22 10  6 28 13 33  2 29 44  9 26 27 24 31 19  7  8
 16  4]",1.147191047668457
1,212.30384120765385,"[21 45 40 48 47 17 32 12 15  3 42 25  5  1 36 38 29 34 27 26 14 43 22 24
 31 19  4 13 33  2 10 30 11 20 35  9 44 39 28 16  8  7  6 46  0 18 41 37
 23 49]",1.0296947956085205
38,212.79208568705607,"[36 29  2 33 13 28 10 43 30 11 20 38 34 44  9 39 35 46  0 22 12 32 21 45
 40 23 37 41 49 17 47 48  3 42 25  1  5 26 27  6  8 16  4  7 19 31 24 18
 14 15]",1.311053991317749
93,212.85854517752915,"[31 19 24 18 41 47 12 32 21 45 17 23 30 11 27 26 20  9 34 33  2 29 36 38
 44 39 35 43 37 49 40 48 15  3 14 22  0 46 10  6 28  7  8 16  4 13 42 25
  5  1]",1.0034523010253906
77,213.63935724986345,"[16 28 41 45 21 32 49 23 37 22 30 11 20 36 38 34 44 39 35 43 46  0 18 24
 31 19 10  6  7  8  4 13 33  2 29  9 27 26 14  5  1 25 42 15  3 48 47 40
 17 12]",1.0955076217651367
33,214.62609097953285,"[ 1  5 25 42 26 27 10  6 43 30 11 35 39 34 44  9 20 14  3 15 48 47 12 32
 21 45 24 31 19 16 28  2 29 38 36 17 40 49 23 37 41 18 22  0 46  7  8  4
 13 33]",1.0070011615753174
31,215.2372781789241,"[ 2 29 36 38 44 39 35 10  6  7  8  4 16 28 11 20 27 14  3 15 37 18 22 43
 30  5  1 25 42 26  9 34 33 13 23 48 47 12 32 21 45 17 40 49 41  0 46 24
 19 31]",1.1529204845428467
83,215.53827362117792,"[28 13 33  2 29 34 44 39 35 20 10  6  7  8 16  4 19 31 24 45 21 32 49 37
 18 41 23 48  3 15  5  1 36 38  9 26 25 42 14 27 11 30 43 46  0 22 40 17
 47 12]",1.099005937576294
57,215.80937565871233,"[31 19 24 49 40 17 47 48 37 18 41 23  3 15 42 25  1  5 26 27 20 11 30 43
 10  6 46  0 22 35 39 28  7  8 16  4 13 33  2 29 14 12 32 21 45  9 44 34
 38 36]",1.095902681350708
49,215.89607474108573,"[31 19 46  0 10  6  7  8 16  4 13 33  2 28 39 35 20 26  3 15 47 17 40 49
 48 27 11 30 43 22 18 37 23 14 42 25  5  1 36 38 29 34 44  9 12 32 21 45
 41 24]",1.3950309753417969
87,216.08431079987508,"[12 32 21 45 17 40 49 41 18  0 10  6  7  8  4 16 28  5  1 25 42 26 27 30
 43 22 20 36 38 29  2 13 33 34 44  9 39 35 11 47 48 23 37 46 19 31 24 14
  3 15]",1.1296029090881348
47,216.08858995268412,"[24 18 41 22  7  8 16  4 13 28 35 20 14 48 40 17 47 15  3  9 39 44 34 33
  2 29 38 36  1  5 25 42 26 27 11 10  6 19 31 46  0 43 30 37 23 49 45 21
 32 12]",1.1459174156188965
51,216.9490448313597,"[ 1  5 25 42 26 27 20  9 35 11 37 23 40 17 14  3 15 48 47 12 32 21 45 49
 41 18 22  0 43 30 28 33 13 16  8  4 19 31 24 46 34  2 29 36 38 44 39 10
  6  7]",0.990964412689209
67,217.81738301150006,"[25 42  5  1 36 38 20 26 27 22  0 46 43 10  6 28 39 44  9 35 30 37 49 45
 21 32 17 40 24 18 41 23 48 47 12 15  3 14 11 34 29  2 33 13  4 19 31  7
  8 16]",1.1350960731506348
50,217.86036696010714,"[40 17 47 48 49 41 18 19 31 24 45 21 32 12 15  3 14 26 27 20 11 30 10  6
  7  8  4 16  5  1 25 42 23 37 22  0 46 43 35  9 34 29  2 33 13 28 39 44
 38 36]",1.1824004650115967
18,217.9527204873805,"[47 12 32 21 45 14 20 11 48 17 40 49 41 37 23  3 15 42 25  1  5 26 27 43
  0 46  8 16  4  7  6 10 28 38 36 34 44  9 39 35 30 22 18 24 31 19 13 33
  2 29]",1.1537902355194092
16,217.98389226684282,"[ 1  5 25 42 27 11 31 19  4 16  8  7 46 24 18 41 48 47 17 40 14 26 36 38
 44  9 39 35 20 10  6 34 29  2 33 13 28 30 43  0 22 37 23 49 45 21 32 12
  3 15]",1.2073562145233154
62,218.82299481962374,"[27 20  6 19 31 24 49 40 17 47 48  3 15 42  5  1 25 12 32 21 45 23 14 26
 36 38 34 44 39 28 10 18 41 37 22  0 46 43 30 11 35  9 29  2 33 13  4 16
  8  7]",1.1104285717010498
53,219.01488108437923,"[ 7  8 16  4  2 29 34 30 43 46  0 22 18 41 37 23 49 40 17 48 47 12 32 21
 45 28 13 33 35 11 27 20  9 36 38 44 39 10  6 19 31 24 14 26  5  1 25 42
  3 15]",1.6553523540496826
25,220.44850670073575,"[47 12 32 21 45 17 48 42 25  1  5 26  9 34 44 39 35 30 43 10 46  0 18 41
 49 40 24  6  7  8 16  4 13 28 20 27 14  3 15 23 37 22 11 36 38 29  2 33
 19 31]",1.0118122100830078
69,221.33590882297807,"[31 19 24 49 40 43 10  8 16  2 29 36 38 44 34 33 13  4  7  6 46  0 18 41
 45 21 32 12 17 47 48 30 28 39  9 35 20 14  3 15 23 37 22 11 27 26 42 25
  5  1]",1.0449798107147217
43,221.4616864319648,"[10 43 30 11  9 44 34 29 38 26 15  3 14 22  0 46 24 31 19  4 16  8  7  6
 18 41 23 48 49 40 17 47 12 32 21 45 37 28 39 35 20 27 42 25  5  1 36  2
 33 13]",1.356140375137329
29,221.82253812974565,"[43 10  6  7  8 35 11 20  9 44 39 28 16  4 13 33  2 30 22  0 46 19 31 24
 18 41 37 23 14  5  1 36 38 29 34 27 26 25 42  3 15 32 21 45 17 47 48 49
 40 12]",1.039647102355957
