Execução,Distância Total,Melhor Caminho,Tempo de Execução
83,204.91247592731654,"[40 46  6  5 27  0 14 20 17 26  9 31 44 47  4 13  3 29 19 12 24 36 18 48
 15  1 41 16 38 32 43 21 37  8 28 49  7 33 34 25 35  2 42 23 22 30 10 45
 11 39]",3.191396474838257
49,208.53866432058976,"[42 34 25 35  2 33  7 49 41 31  9 26 17 13 24 36 18 48 12 15  1  3 19 29
 20 14  0 27  5  6 46 40 30 10 45 39 11 22 23 28 16 38 32 43 21 37  8 44
 47  4]",2.053689956665039
39,209.1185911961433,"[49 28 16 41 44  8 37 21 43 32 38  7 22 11 48 36 18 39 45 10 30 27 34 25
 35 33  2 42 23 31 17 26  9 29 19  3 12 24 15  1 13  4 47 20 14  0  5  6
 40 46]",0.9990835189819336
51,210.93139876410652,"[21 43 32 38 16 41 47 13 24 48 12 15  1  3 19 29  9 44 28 49  2 42 23 20
 14 22 36 18 39 11 45 10 30 27 34 25 35 33  7  8 37 31 17 26  4  0  5  6
 40 46]",1.9350578784942627
14,211.49308050648713,"[ 9 17 31 44 47 23 42 34 25 35 22 24 15 12 30 10 45 11 39 18 36 48  1  3
 19 29 26  4 13 20 14  0 27  5  6 40 46  2 33 21 43 32 38  7 49 28 16 41
  8 37]",1.4355967044830322
74,213.53093111025316,"[21 43 32 38 17 26  9 31 37  8 23 42 20 14 30 10 45 39 18 48 15  1  3 19
 29 34 25 35  2 33  7 49 28 16 41 44 47  4 13 24 12 36 11 22  5  6 40 46
 27  0]",1.961986780166626
57,215.55904773050625,"[21 43 32 38  8 37 31  9 29 19 48 36 18 39 11 45 10 30  0 14 20 41 44 47
 17 26  3  1 12 15 24 22 13  4 23 42 27  5  6 40 46 35  2 49 28 16  7 33
 25 34]",3.7643494606018066
2,216.0107056667139,"[12 15 24 11 10 30 45 39 18 36 48 22 20 14  0 27  5 42 23 13  1  3 19 29
  9 26 17 31 41 16 28 49  2 34 25 35 33  7 21 43 32 38 47  4 44 37  8  6
 40 46]",3.062443971633911
60,216.13497158956224,"[37  8 44 31 13 24 12 15  1  4 47 16 21 43 32 38  7 49 33  2 35 34 25 28
 41 17 26  9 29 19  3 39 45 10 30  0 14 20 23 42 22 11 18 36 48 27  5  6
 40 46]",1.4249451160430908
91,217.27622135943355,"[49  7 33  2 23 26  9 29 19  3 12 15  1 13  4 20 14  0 27  5  6 40 46 35
 25 34 21 43 32 38 41 47 44  8 16 28 42 22 30 10 45 11 39 18 36 48 24 17
 31 37]",1.4960269927978516
