Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
37,169.82207154424174,"[12 32 21 45 17 47 48 40 49 23 37 41 18  0 46 10  6 28  7  8 16  4 13 33
  2 29 36 38 34 44  9 39 35 20 27 26 14  3 15 42 25  1  5 11 30 43 22 24
 19 31]",550,400,0.2,30,64.63011240959167
93,172.81180812079646,"[ 1  5 25 42 14  3 15 48 47 12 32 21 45 17 40 49 23 37 41  0 46 43 10  6
  7  8 16  4 19 31 24 18 22 30 28 13 33  2 29 36 38 34 44  9 39 35 20 11
 27 26]",550,400,0.2,30,58.707642793655396
26,175.9141736650034,"[ 1  5 25 42 14  3 15 48 47 12 32 21 45 17 40 49 23 37 41 43 30 11 27 26
 20 35 28 16  8  4  7 19 31 24 18 22  0 46 10  6 39  9 44 34 38 36 29  2
 33 13]",550,400,0.2,30,51.75668787956238
45,178.08345118705319,"[13 33  2 29 34 44  9 39 35 20 26 27 11 30 22 43 10  6  7  8  4 16 28 38
 36  1  5 25 42 14  3 15 12 32 21 45 49 40 17 47 48 23 37 41 18  0 46 24
 19 31]",550,400,0.2,30,64.52414917945862
7,178.2259586127142,"[24 18 41 37 23 49 40 45 21 32 12 17 47 48 42  5  1 25 15  3 14 22 43 10
 35 20 26 27 11 30  0 46  6 28 39  9 44 34 38 36 29  2 33 13  4 16  8  7
 19 31]",550,400,0.2,30,45.65048599243164
12,182.65230899607675,"[31 19 43 30 11 28  2 33 13  4 16  8  7  6 10  0 46 24 18 41 49 40 45 21
 32 12 17 47 48 23 37 22 35 39 34 29 36 38 44  9 20 27 26 14  3 15 42 25
  5  1]",550,400,0.2,30,53.76776313781738
17,183.4117678528229,"[31 19  6 28 39 44  9 35 20 11 27 26 42 25  5  1 36 38 34 29  2 33 13  4
 16  8  7 10 46  0 22 43 30 14  3 15 23 37 24 18 41 49 40 17 48 47 12 32
 21 45]",550,400,0.2,30,40.7269504070282
9,184.66568236542355,"[31 19 24 18 22  0 46 43 30 11 35 39  9 44 34 29 38 36  1  5 25 42  3 15
 12 32 21 45 17 40 49 41 37 23 48 47 14 26 27 20 28  2 33 13  4 16  8  7
  6 10]",550,400,0.2,30,63.64735531806946
62,185.57610683007044,"[38 34 44  9 39 35 20 11 30 43 14  3 15 42 25  1  5 26 27 36 29  2 33 13
 28 10  6  7  8 16  4 19 31 24 18 41 23 48 47 17 12 32 21 45 40 49 37 22
  0 46]",550,400,0.2,30,46.1495144367218
3,186.08860765164954,"[ 4 16 28 13 33  2 29 36 38 34 44  9 39 35 43 30 11 20 27 26  5  1 25 42
 14 48 47 17 12 32 21 45 40 49 37 22  0 46 10  6  8  7 19 31 24 18 41 23
  3 15]",550,400,0.2,30,50.61266493797302
78,186.50188545698862,"[ 1  5 25 42 26 35 39 34 29  2 33 13 28 19 31 24 46  0 22 18 41 37 23 48
 47 49 40 17 45 21 32 12 15  3 14 27 20 36 38 44  9 11 30 43 10  6  7  8
 16  4]",550,400,0.2,30,48.985188245773315
10,186.92077823791016,"[31 19 24 46  0 22 18 41 23 49 40 12 17 47 48 15  3 14 42 25  1  5 26 27
 20 11 30 10  6  7  8 16  4 13 33  2 29 38 36 34  9 35 39 44 28 43 37 45
 21 32]",550,400,0.2,30,64.63239765167236
77,187.79189569800837,"[ 1  5 25 42 15  3 48 47 12 32 21 45 17 40 49 23 14 26 27 20 11 10  6  7
  8 16 28 39 44  9 35 30 37 41 24 18 22  0 46 43 34 38 36 29  2 33 13  4
 19 31]",550,400,0.2,30,49.86221218109131
31,188.35940755124938,"[31 19 24 18 27 26 42 25  5  1 36 38 44 39 28  6 10 43 30 11 20 35  9 34
 29  2 33 13  4 16  8  7 46  0 22 14  3 15 12 32 21 45 17 47 48 40 49 23
 37 41]",550,400,0.2,30,52.71080946922302
43,188.55712299989221,"[29 36 38 34 44 39 35 28 16  8  4  7 19 31 24 18 41 23 37 22  0 46 10  6
 13 33  2  9 20 26 27 11 30 43 14 42 25  5  1 15  3 48 47 49 40 17 45 21
 32 12]",550,400,0.2,30,46.85934329032898
39,188.5825511180781,"[31 19  4  7  8 16 39  9 20 27 42 25  1  5 26 11 30 43 22  0 46 10  6 44
 34 38 36 29  2 33 13 28 35 14  3 15 12 32 21 45 17 40 49 47 48 23 37 41
 18 24]",550,400,0.2,30,60.43666219711304
