Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
61,160.9967920851563,"[17 30 42 40 24 29  2  9 45 46 25 37 27 19  4 38 39 36 15 47 16 12  6 20
  0 26 10  5 31 49  3 48  8 34 22 32 28 18 14 33 44  7 13 35 21 43  1 11
 41 23]",550,400,0.2,30,31.34361720085144
13,164.10315517871211,"[ 8 48 34 22 32 33 44  7 13 14 18 28 35  3  9 45 31 40 24 29  2 49 11 21
 43  1 41 23 46 25 37 27 19  4 38 39 36 15 47 16 20  0 26 10  5 12  6 42
 30 17]",550,400,0.2,30,41.999298095703125
4,164.9496856738448,"[17 30 42  6 12 16 20  0 26 10  5 31 40 24 29  2 49  3 34 48  8  9 45 11
  1 43 21 22 32 35 28 18 14 13 33 44  7 41 23 46 25 37 27 19  4 38 39 36
 15 47]",550,400,0.2,30,45.71861028671265
55,165.23817689842195,"[44 33  7 13 14 18 28 35 32 22 34 48  8  9 45 26 20  0 10  5 31 24 40 42
 17 30  6 12 16 47 15 36 39 38  4 19 27 46 37 25 23 41 11  1 43 21  3 49
  2 29]",550,400,0.2,30,44.558565855026245
25,167.17184421984308,"[17 30 12  6 42 40 24 29  2 49  3 34 48  8  9 45  4 38 39 36 15 47 16 20
  0 26 10  5 31 19 27 37 25 46 23 41 11 22 32 35 28 18 14 13 33 44  7 21
  1 43]",550,400,0.2,30,34.09221792221069
38,168.37992950708127,"[44 33  7 13 14 18 28 35 32 22  3 49 31  2 29 24 40 42 17 30  6 12  5 10
 26  0 20 16 47 15 36 39 38  4 19 27 11  1 43 21 34 48 45  9  8 41 23 46
 37 25]",550,400,0.2,30,44.4518563747406
90,168.7286692422612,"[40 33 44  7 13 14 18 28 35 22 32 21 43  1 11 41 23 46 25 37 27 19  4 38
 39 36 15 47  0 20 16 12  6 17 30 42  5 10 26 45  9  8 48 34  3 49  2 29
 24 31]",550,400,0.2,30,43.13367033004761
29,169.25456526608457,"[17 30 42  5 10 26  0 16 12  6 40 24 29  2 49  9 45 19 27 37 25 46 23 41
 11  1 43 21 34 48  8  4 38 39 36 15 47 20 31  3 22 32 35 28 18 14 13  7
 33 44]",550,400,0.2,30,39.19138288497925
93,169.66586866514024,"[44 33  7 13 14 35 32 22 34  8 48  3  9 49  2 29 24 31  5 10 26  4 38 39
 36 15 47  0 20 16 12  6 17 30 42 40 45 19 27 37 25 46 23 41 11  1 43 21
 28 18]",550,400,0.2,30,33.6782329082489
26,177.4307625428727,"[44 33  7 13 14 35 32 22 28 18 40 24 29  2 49  3 34 21 43  1 11 41 23 46
 25 37 27 19  8 48  9 45 31 10  0 20 16 47 26  5 42 17 30  6 12 15 36 39
 38  4]",550,400,0.2,30,43.7201361656189
