Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
46,223.46490064516215,"[27 11  1 43 21 35 18 28 32 41 23 46 37 25 19  4 39 36 15 47 20  0 10 26
  5 30 17 40 24  2 49 31  9 45 48 34 33 44  7 22  8 38 16 12  6 42 29  3
 13 14]",2500,400,0.95,200,0.1169426441192627
72,224.36053873508,"[ 3 33 44  7 14 13 28 18 35 22 32 21 23 41 46 25 37 27 19  8 31 29 24 40
 12 16 47 15 26 20  0 10  5  6 17 30 42  2 49 45 39 36  4 38 34 48  9 11
  1 43]",2500,400,0.95,200,0.11389350891113281
90,226.39296694941163,"[44 33 14 48 11  4 38 36 20  0 10  5 47 16 15 39 37 25 46 23 41  1 43 21
 35  7 13  3 49 29 24  2  9 45 31 26 12  6 17 30 42 40 18 28 32 22 34  8
 27 19]",2500,400,0.95,200,0.13658642768859863
16,227.4886731351935,"[17 30 42 40 24 18 28 14 13 29  2 49  3 22 32 21 43  1 11 41 23 46 27  0
 20 16 36 39 37 25  4 12  6  5 26 10 15 47 38 19 45 31  9 48  8 34 35 33
  7 44]",2500,400,0.95,200,0.11111736297607422
73,227.61334329019843,"[36 47  0 20 16 12  6 17 30 42 14 33 44  7 13 18 29 40 24  2 49  3 34 48
 46 37 25 19  4 27  1 43 21 11 41 23  8 22 32 35 28  5 45  9 31 10 26 15
 39 38]",2500,400,0.95,200,0.13787221908569336
31,230.05569111759047,"[42 40 24  2  3 22 32 35 33 44  7 13 18 28 14 21 11 27  9 45 19 37 25 46
 23 41  1 43 39 36 47 26 10  5  0 15 38  4 34 48  8 31 20 16 12  6 17 30
 29 49]",2500,400,0.95,200,0.06921553611755371
96,231.769691342309,"[39 36 38  4 15 47 45 22 28 13 14 18 35 32 21  1 43 11 41 23 25 37 27 19
 46 40 17 30 42 49 48 33 44  7  8  9 31  6 12 16 20  0 10  5 26  2 24 29
  3 34]",2500,400,0.95,200,0.0853431224822998
95,233.27181535275093,"[36 15 47 20  0  5 42 24 29 21 11 41 23 43  1 32 22 35 13 28 19 27  8 34
 48 46 37 25  4 39 38 45  9 31  2 49  3 14 33 44  7 18 40 17 30  6 12 16
 26 10]",2500,400,0.95,200,0.08278775215148926
23,236.44405451271763,"[40 24 29 18 14 33 44  7 13 21 43  1 11  8 48 22 32 35 41 23 25 37 46 27
 45 42 17 30  6 12 31  3 28 34  9 38 39 36 15 47  2 49  5 16 20  0 10 26
  4 19]",2500,400,0.95,200,0.07903695106506348
9,237.2919916774363,"[36 39 37 25 41 23  8 49 24 40 17 30 42 29 18 14 33 44  7 13 21 43  1 11
 34 28 32 35 22  3 20 16  0  5  9 48 45 26 10 31  2  6 12 47 15 38  4 19
 27 46]",2500,400,0.95,200,0.20235681533813477
37,237.46041191268407,"[ 6 12 20 16  0 26 10 45  9 31  5 38 47 15 36 39 37 25 22 32 28 18  3 34
  8 48 41 11  2 29 40 42 24  4 19 27 46 23 43  1 21 35 13 14 33 44  7 49
 30 17]",2500,400,0.95,200,0.0974893569946289
47,238.23343633763776,"[14 33 44 13 18 17 30 42  6 12 16  0 10 45 19 27 37 25 46 41 23 38 15 26
 31  9 49  2 29 40 24 48  8  4 39 36 47 20  5  3 34 22 28  7 35 32 11 21
  1 43]",2500,400,0.95,200,0.10231566429138184
81,238.7407183435845,"[38 36 39 15 47 10 26  5 31  4 19 11 21 22  7 13 44 33 14  9 12 16 20  0
 45  8 48 34 32 35 18 28  3  2 49 24 40 17 30  6 42 29 27 46 37 25 23 41
  1 43]",2500,400,0.95,200,0.09013152122497559
54,238.79259383284904,"[44 33  7 21 19 46  9 45 29  2 24 40  6 12 15 47 16 20  0 43  1 41 11 23
 25 37 27  5 10 26 39 36 38  4 31 49  3  8 48 34 22 32 35 28 13 14 18 17
 30 42]",2500,400,0.95,200,0.07584547996520996
13,240.51377361972368,"[17 30 42  6 12  5  9 11 43  1 41 36 39 46 23 21 32 14 33 44  7 13 18 28
 35 25 37 27 19  8 48 34 22  3 10 26  0 20 47 15 16 38  4 45 31 40 24 49
  2 29]",2500,400,0.95,200,0.1623075008392334
86,241.10020106327556,"[ 3 34 48  8  2 24 29 18 28 22 32 11  4 38 39 36 14 33 44  7 13 35 49 31
  9 19 46 25 37 27 23 41  1 43 21 45 40  5 10 26  0 42 17 30  6 12 15 47
 16 20]",2500,400,0.95,200,0.09856891632080078
56,241.23103119086605,"[16 10 26  0 20 38  4 46 37 25 39 36 15 47 12  6 30 17 33 44  7 28 27 19
 23  1 43 21 35 18 13 14 22 34 48  9 45 31 49  3  8 32 41 11  5 42 40 24
  2 29]",2500,400,0.95,200,0.16480112075805664
76,242.06821698433455,"[13 14 40 17 30 42  6 12  5 10  0 20  3 32 48  8 31 24 29  2 49  9 34 43
 23 25 37 27  4 38 36 39 15 47 16 26 45 19 46 11 22 18 28 35 21  1 41  7
 33 44]",2500,400,0.95,200,0.07116842269897461
87,242.22065747495375,"[20 12  6 17 30 42 32 28 35 14 18 13 33 44  7 22  3 31 27 11 41  1 43 21
 23 46 19 45  8 49  2 29 24 40  5 10  0 16 47 36 15  9 48 34 26 39 38  4
 37 25]",2500,400,0.95,200,0.09895610809326172
38,243.25713801082082,"[46 19  4 38  2 40 29 49  9 45 31  3 28 14 13 18 34 48  8  5 10 26 47 16
 20  0 17 30 42 24  6 12 15 36 39 11 21 35 33 44  7 43  1 41 23 25 37 27
 22 32]",2500,400,0.95,200,0.08720612525939941
4,244.15409001267477,"[47  0 10 17 30 42 16 20  5 31 28 14 13 35 34 48  3 18 33 44  7 21 11 49
 40 24 29  2  9 45 43  1 32 22  8 19 27 37 25 46 23 41 26  4 38 39 36 15
 12  6]",2500,400,0.95,200,0.17382383346557617
19,244.3703285988294,"[38 39 36 15 16 20 43 21  1 41 23 11  3  9 45 31 24  2 29 40 42 17 30  6
 49 28 35 18 14 13 33 44  7  5  0 47  4 19 46 25 37 27 34 48  8 32 22 26
 10 12]",2500,400,0.95,200,0.14180850982666016
78,245.21751116649065,"[27 19  8 32 22 49 29  2 31 24 40 42 17 30  5 10 26  7 33 44 21 43  1 41
 11 23  4 46 25 37 38 39 36 15 20  6 12 16 47  0 45  9 48 18 28  3 34 35
 14 13]",2500,400,0.95,200,0.08722352981567383
57,245.7306511883959,"[17 30 33 44 14  7 13 35 32 48 34  3  0 20 47 15  5  9  8 45  4 19 37 25
 46 27 23 41 21 38 39 36 26 31 40 10 16  6 12 42 24 29  2 49 18 28 22 11
  1 43]",2500,400,0.95,200,0.08704042434692383
74,245.7700735898598,"[40 24 29  2  5 15 47 36 39 16 20  0 26 45  9 42 17 30  8 48 34 11 41 27
 23  1 43 22 28 18 49  3 31  6 12 10  4 38 19 37 25 46 21 32 35  7 33 14
 13 44]",2500,400,0.95,200,0.0839529037475586
61,245.77212001367522,"[13 35 32 21 22 11 43  1 41 23 46 25 37 27  4  0 20 16  3 28 14 33 44  7
 18 12  6  5 10 26  9 45 19 39 38 36 15 47 30 17 42 34 48  8 49 31  2 24
 29 40]",2500,400,0.95,200,0.08391952514648438
64,245.82612576140565,"[39  4 38  0 10 45  9 48  8 27 19 25 37 46 11 21 34 42 17 30  6  5 23 41
  1 43 13 14  3 49  2 29 18 28 35 22 32  7 33 44 40 24 31 26 15 36 47 20
 16 12]",2500,400,0.95,200,0.13402438163757324
71,246.19491559353722,"[25 37 46  8 34 21 43  1 22  7 33 44 35 40 42  6 17 30 12 16 10  5 32 14
 13 28 18  3 24  2 29  9 49 31  0 20 47 36 15 39 38 26 45 48 11 41 23 27
 19  4]",2500,400,0.95,200,0.09689021110534668
15,246.4843376202169,"[42 12 16  0 26 10  5  9 45 21 43 32 34 48  8  3 22 28 49 29 18 14 13  7
 33 44 35 19 25 37  4 38  6 30 17 40 24  2 31 15 47 20 36 39 27 46 23 41
 11  1]",2500,400,0.95,200,0.09244465827941895
88,246.76652742611344,"[12  6  5 31 24  2  3 37 25 46 23 41 34 18 17 30 42 40  9 45 26 10 16 20
  0 47 15 36 39 11 43  1 21 48  8 19 27  4 38 49 29 28 44 33  7 32 22 35
 13 14]",2500,400,0.95,200,0.08719968795776367
42,247.58991275308782,"[ 6 12 16 26  4 37 25 46 45 31  2 18 28 22 32  3  5 47 15 36 39 38 48 34
  8  9 10 20  0 19 27 23 41 14 13  7 33 44 35 24 29 49 11  1 43 21 40 42
 30 17]",2500,400,0.95,200,0.15164709091186523
14,248.14623875168556,"[12 47 15 36 39  4 11 21 32 14 33 44  7 13 18 29 40 42 17 30  6 38 19 27
 23 41 43  1 46 37 25  0 20 16 10 45  9 49 24  2  3 22 34 48  8 26  5 31
 35 28]",2500,400,0.95,200,0.1363997459411621
21,248.41291975301198,"[46 25 37 41  1 43 35 14 13 18 28 49  2 29  7 33 44 32 22 34  8 48  3  9
 10 16 47 15 26  5 24 42 17 30 40 19 38 39 36 20  0  4 27 23 11 21 45 31
 12  6]",2500,400,0.95,200,0.0897057056427002
26,248.9639039411571,"[22 32 35 18 28 39 36 15 47 16 12  6  5 10 49  9 26  0 20 38 31 34  3 33
 44  7 13 14 17 30 42 40 29 24  2 45 37 25 19  4 27 46 23 41 21  8 48 11
  1 43]",2500,400,0.95,200,0.07479166984558105
98,249.26445249458706,"[ 6 12 47 15 36 39 38  8 22 32 35 28 48 34 18 14 13  7 21 41 23 25 37 49
  3 29 40 24 42 31 10  5  0 16 20 26  4 46 27 19 45  9  2 11  1 43 44 33
 30 17]",2500,400,0.95,200,0.1170814037322998
93,249.98976341751168,"[29  3 34 48  8 27 37 25 46 23 33 44 43  1 41 11 22 24  2 31  5  0 20 16
 12  6 17 30 42 40 49  9 26 36 39 38  4 19 15 47 10 45 21 18 28 32 35 13
  7 14]",2500,400,0.95,200,0.09007954597473145
2,250.49477064697643,"[32 22 34 26 10  9 31 45  4 20  0 16 47 15 36 39 38 23 41 11 21 35 13 33
 44  7 43  1 48  8 49 42 40 24 29  2 19 46 37 25 27 12  6  5  3 18 14 28
 30 17]",2500,400,0.95,200,0.19069647789001465
67,250.5908452793863,"[18 28 32 34  8 47 15 38  4 45  9 26 10  0 36 39  5 42  6 12 16 20 30 17
 40 24 37 25 46 31 29  2 49  3 48 41 23 11 13 14 33 44  7 35 22 21 43  1
 27 19]",2500,400,0.95,200,0.09917736053466797
8,250.79104740539861,"[17 30 42 49  1 43 41 23 27  5 10 26  0 20 16 47 15 38 39 36  4 32 35 33
 44  7 13 14 21 11 22 34 48  8  6 12 37 25 46 19  3 28 18 40 29  2  9 45
 31 24]",2500,400,0.95,200,0.15822649002075195
41,251.18443609601647,"[40 24 49 45 19 38 39 36 15 47 21 43  1 41 46 25 37 27  5  6 12 29 18 33
 44  7 13 11 23  4 20 16 10  0 26  9 31  2 28 14 35 22 32 34 48  8  3 42
 30 17]",2500,400,0.95,200,0.14433979988098145
94,252.0755492859836,"[36 15 12  6 29 18 44 33 35  3 28 14 13  7 32 22 21 11 41 23 48  8 45 31
 40 17 30 42  4 38 39 47 49 34 43  1 37 25 46 27 19  9 24  2  5 26 10 16
 20  0]",2500,400,0.95,200,0.08301496505737305
84,252.12054621997171,"[17 30 18 28 32 22 46 25 37 27 11 45 19  4 26  9 49  2 29 24 40 42  6 12
  5 31 21 43  1 41 23 10 15 36 39 47 16 20  0 38 48  3 14 13 33 44  7 35
 34  8]",2500,400,0.95,200,0.08869171142578125
85,252.79243201030002,"[36 15 12  6 42 40 24 31 46 37 25 27 19  4  8 48 34 45  9  3  7 44 33 49
  2 29 18 28 14 13 21  1 23 41 11 43 17 30  5 26  0 20 16 47 39 38 10 22
 32 35]",2500,400,0.95,200,0.1058962345123291
83,253.18796423159438,"[30 17 42 24 40 29  2 23 41  8 34 48  9 31 49  3 22 32 21  1 35 28 18 14
 13 45 19 27 46 25 37  4  0  5 43 11 38 39 36 26 10 20 16 15 47  6 12  7
 33 44]",2500,400,0.95,200,0.09737730026245117
25,253.70340257127745,"[31  5 45 19 27 25 37  4 47 26 20  0 12 17 30 42 24  2 29 49  3 34 28 18
 33 44 40  6 16 10  9  8 48 22 35  7 13 14 32 21  1 43 11 41 15 36 39 38
 46 23]",2500,400,0.95,200,0.06139564514160156
52,253.75084729935847,"[ 4 26 16 47 15 36 20 39 38 25 46 37 41 11  8 49  2 24 29 13 14 33 44  7
  1 27 19 23 43 21 45  5 10  0 12 17 30  6 42 40 31 48 34  9  3 22 32 35
 28 18]",2500,400,0.95,200,0.11643171310424805
