Execução,Distância Total,Melhor Caminho,Tempo de Execução,Algoritmo,Semente,Iterações,Temperatura,Resfriamento,Tentativas,População,Mutação
83,110.9277417545017,"[ 4 19 27 25 23 11  1 21 22  7 13 14 18 28  3  8  9  2 29 24  5 10 26  0
 20 16 15 12  6 17]",0.1633756160736084,Hill Climb,14,,,,,,
33,122.93074435042996,"[24 29  2  9  5 10 26  4 19 27 25 23 11  1 21  7 13 14 18 28 22  8  3  0
 20 16 15 12  6 17]",0.1115858554840087,Hill Climb,14,,,,,,
84,124.03181554519024,"[12  6 17 24 29  2  3 18 28 21  1 11 23 25 27 19  4 15 16 20  0 26 10  5
  9  8 22 14 13  7]",0.1527233123779297,Hill Climb,14,,,,,,
30,125.44879107068216,"[15 10  0 20 16 12  6 17 24 29  2  9  5 26  4 19 27 25 23 11  1 21 22  7
 13 14 18 28  3  8]",0.1106581687927246,Hill Climb,14,,,,,,
15,126.36159089134031,"[24 29  2  5 10  0 15  4 19 27 25 23 11  1 21  8 22 28 13  7 14 18  3  9
 26 20 16 12  6 17]",0.2341799736022949,Hill Climb,14,,,,,,
64,128.7758676158371,"[17 24 29  6 12  0 26 10  5  2  3  8  9 20 16 15  4 19 27 25 23 11  1 21
 22 28 18 14 13  7]",0.1317310333251953,Hill Climb,14,,,,,,
38,129.33049597137486,"[22 28 18 14 13  7 21  1 11 23  8  3  9 25 27 19  4 26  5 10  0 20 16 15
 12  6  2 29 24 17]",0.3908419609069824,Hill Climb,14,,,,,,
85,129.78327616435342,"[12  6 17 24 29  3 18 14  7 13 28 22  8  9  2  5 10 26  0 20 16 15  4 19
 27 21  1 11 23 25]",0.123936653137207,Hill Climb,14,,,,,,
65,132.65623659191186,"[14 18 28  5 10 26  0 20 16 15 12  6 17 24 29  2  3  8  9  4 19 27 25 23
 11  1 21 22 13  7]",0.1225757598876953,Hill Climb,14,,,,,,
46,132.67424510447876,"[15  0 20 16 12  6 17 22 21  1 11 23 25 27 19  4 26 10  5  9  8  3  2 24
 29 18 28 14 13  7]",0.1368496417999267,Hill Climb,14,,,,,,
