Execução,Distância Total,Melhor Caminho,Tempo de Execução
16,142.75357312933343,"[19 24 10  6  7  8  4 16 28 13  2 29  9 20 11 27 26  5  1 25 14 22  0 18
 23 17 21 12  3 15]",0.11964297294616699
81,148.54107131650562,"[12 21 17 23  8 16  4  7  6 10 26  5  1 25 15  3 14 27 11 20  9 29  2 13
 28  0 22 18 24 19]",0.2296295166015625
76,149.96785319725916,"[ 4 16  8  7 10  0 22 18 24 23 21 12 17 14  3 15 25  1  5 26 27 20 11 28
 13  2 29  9  6 19]",0.10260486602783203
0,150.86979253498797,"[19  6  7  8  4 16 28 13  2 29  9 11 10  0 22 18 24 21 12 17 23 27 14  3
 15 25  1  5 26 20]",0.15081071853637695
83,151.33346341332825,"[20  9 29  2 13  4 16  8  7 19  6 28 10  0 22 23 17 21 12 15  3 14 25  1
  5 26 27 11 18 24]",0.20513415336608887
67,151.61681783171278,"[22  0 18 23 17 12 21 24 19  8 16 28  9 20 11 27 26  5  1 25 15  3 14 10
  6  7  4 13  2 29]",0.13871169090270996
13,151.65681695430985,"[19  4 16  8  7  0 10  6 28 13  2 29  9 20 11 27 26  5  1 25 14 22 18 23
  3 15 12 21 17 24]",0.1348714828491211
43,152.44315330864507,"[ 1  5 25  3 15 12 21 17 23 22  0 18 24 19  6 10  9 29  2 13 28 20 26 14
 27 11  7  8 16  4]",0.13984990119934082
18,152.91962501772184,"[12 21 17 23 22 10  6  9 29  2 13  4 16 28 20 27 26  5  1 25 15  3 14 11
  8  7  0 18 24 19]",0.11590790748596191
54,152.9853763150632,"[29  2 13 16  8  4 19 24 18  0 22 23 17 21 12  3 14 27 20  9 28  7  6 10
 11 26  5  1 25 15]",0.12839794158935547
87,153.36742585755772,"[ 1  5 25 15  3 14 26 27 28  2 29  9 20 11 22  0 19 24 21 12 17 23 18 10
  6  7  8 16  4 13]",0.2534811496734619
22,153.542491418671,"[ 2 29  9 28 13  4 16  8  7  6 10 22  0 19 24 18 14 25  1  5 26 27 20 11
 23 17 21 12  3 15]",0.12064981460571289
59,153.74807328386737,"[20 27 14  3 15 25  1  5 26 11 22  0 18 23 17 12 21 24 19 13  2 29  9 28
 10  6  7  8 16  4]",0.14327311515808105
52,153.98189117233562,"[14 26  5  1 25  3 15 12 21 17 23  0 10  6  7  8  4 16 28  9 20 27 11 22
 18 24 19 13  2 29]",0.14139938354492188
3,154.91118110202717,"[25 15  3 14 27 20 11 22 18  0 10  6  7  8 16 28  9 29  2 13  4 19 24 21
 12 17 23 26  5  1]",0.14056873321533203
4,155.65670822073463,"[ 1  5 25  3 15 12 21 17 23 14 20  9 29  2 13 28 10  6  8 16 11 26 27 22
  0 18 24 19  7  4]",0.12625861167907715
8,155.71603591554202,"[ 4 16  8  7  6 10  0 19 24 18 22 23 17 21 12 15  3 14 20 11 28 13  2 29
  9  5  1 25 26 27]",0.14060187339782715
5,156.87586972078648,"[19 24 18 23  3 14 26 27 20 11 10  6  0 22  9 28  7  8 16  4 13  2 29  1
  5 25 15 12 17 21]",0.12695026397705078
41,156.87758657999018,"[15  3 14 25  1  5 26 27 29  2 13  4  7  6 10 20 11 22  0 18 23 17 12 21
 24 19  8 16 28  9]",0.12221431732177734
85,156.94640558634717,"[10 11 26 27 22  0  6  7  8 16  4 19 24 18 23 17 21 12 15  3 14 20  9 28
 13  2 29  1  5 25]",0.19237685203552246
