Execução,Distância Total,Melhor Caminho,Tempo de Execução
83,110.9277417545017,"[ 4 19 27 25 23 11  1 21 22  7 13 14 18 28  3  8  9  2 29 24  5 10 26  0
 20 16 15 12  6 17]",0.1633756160736084
33,122.93074435042995,"[24 29  2  9  5 10 26  4 19 27 25 23 11  1 21  7 13 14 18 28 22  8  3  0
 20 16 15 12  6 17]",0.11158585548400879
84,124.03181554519023,"[12  6 17 24 29  2  3 18 28 21  1 11 23 25 27 19  4 15 16 20  0 26 10  5
  9  8 22 14 13  7]",0.1527233123779297
30,125.44879107068215,"[15 10  0 20 16 12  6 17 24 29  2  9  5 26  4 19 27 25 23 11  1 21 22  7
 13 14 18 28  3  8]",0.11065816879272461
15,126.36159089134033,"[24 29  2  5 10  0 15  4 19 27 25 23 11  1 21  8 22 28 13  7 14 18  3  9
 26 20 16 12  6 17]",0.23417997360229492
64,128.7758676158371,"[17 24 29  6 12  0 26 10  5  2  3  8  9 20 16 15  4 19 27 25 23 11  1 21
 22 28 18 14 13  7]",0.1317310333251953
38,129.33049597137486,"[22 28 18 14 13  7 21  1 11 23  8  3  9 25 27 19  4 26  5 10  0 20 16 15
 12  6  2 29 24 17]",0.3908419609069824
85,129.78327616435342,"[12  6 17 24 29  3 18 14  7 13 28 22  8  9  2  5 10 26  0 20 16 15  4 19
 27 21  1 11 23 25]",0.12393665313720703
65,132.65623659191186,"[14 18 28  5 10 26  0 20 16 15 12  6 17 24 29  2  3  8  9  4 19 27 25 23
 11  1 21 22 13  7]",0.12257575988769531
46,132.67424510447876,"[15  0 20 16 12  6 17 22 21  1 11 23 25 27 19  4 26 10  5  9  8  3  2 24
 29 18 28 14 13  7]",0.13684964179992676
70,133.0512653975109,"[ 7 13 21  1 11 22 14 18 28  3  8 23 25 27 19  4 26 15 16 20  0 10  9  2
 29 24  5 12  6 17]",0.09702372550964355
54,133.16123401753765,"[ 8  3 18 28 22 21  1 11 23 25 27 19  4 15  0 20 16 12  6 17  5 10 26 24
 29  2  9 14 13  7]",0.10679888725280762
45,133.51284008197663,"[17 24  3 21  1 11 23 25 27 19  4 26  9  8 22 28 13  7 14 18 29  2  5 10
  0 20 16 15 12  6]",0.13805270195007324
17,134.78772085829166,"[17  6 12  5  9  8  3  2 24 29 18 28 22 21  1 11 23 25 27 19  4 26 15 16
 20  0 10 14 13  7]",0.28424572944641113
32,135.57545480989236,"[ 8  9  5 10 26  0 20 16 15 12  6 17  7 13 14 18 28 22  3  2 29 24  4 19
 27 25 23 11  1 21]",0.10355520248413086
86,135.96298950777245,"[ 7 13 14 21  1 11 22 28 18  9  4 19 27 25 23  8  3  2 29 24  6 12 15 16
 20  0 26 10  5 17]",0.13395118713378906
97,137.27989752303714,"[27 19  4 26 10  5 24 29  2  9  0 20 16 15 12  6 17 18 28  3  8 22 14 13
  7 21  1 11 23 25]",0.12032532691955566
43,137.98965507566527,"[ 0 20 16 15  4 19 25 27  8  3  9  2 29 24  5 10 26 12  6 17 18 14  7 13
 28 22 21  1 11 23]",0.16262030601501465
61,138.12742769773854,"[15 26  4 25 23  1 21 22 28 13  7 14 18 29 24  2  9 19 27 11  8  3  5 10
  0 20 16 12  6 17]",0.12107038497924805
75,138.4843432510137,"[25 27 19  4 15 20 16 12  6 17 24  9  8 21  1 11 23 26  0 10  5  2 29  3
 22 28 18 14 13  7]",0.1235969066619873
76,138.51397098746816,"[17  6 12 16 20  0  3 28 18 14 13  7 22 27 23 11  1 21  8  9  2 29 24  5
 10 26 15  4 19 25]",0.1314549446105957
79,139.12084461531833,"[17 24  2 29  6 12  5 10 26  9  3 13  7 14 18 28 22  8 27 25 23  1 21 11
 19  4  0 20 16 15]",0.1569530963897705
93,139.88378271925302,"[26 10  0 20 16  6 17 12 15  4 25 27 19  5 24 29  2  9  8  3 28 18 14 13
  7 22 21  1 11 23]",0.13125848770141602
18,141.90493319343372,"[ 4 26  0 20 16 15 12  6 17 24 29 14 13  7 22  8  9 10  5  2  3 18 28 21
  1 11 23 25 27 19]",0.22012996673583984
20,142.4958261839611,"[ 1 11 23 25 27 19  4 26 15 12  6 17 16 20  0 10  5 24  2 29 18 28 22 21
  8  9  3 14 13  7]",0.23479437828063965
3,143.19103899299287,"[ 1 21  8  3 22 28 13  7 14 18 29  6 12 15 16 20  0 26 10  5  9  4 19 27
 25 23 11  2 24 17]",0.13156700134277344
63,143.35623509302562,"[17  6 12 15  4 19 27 25 23 11  8  9 10 26  1 21 22  7 13 14 18 28  3  2
 29 24  5  0 20 16]",0.14532208442687988
1,143.4906896700815,"[17 29 18 28 14 13  7 22 21  8  3  9  2 24  0 20 16 15 12  6  5 10 26  4
 19 11  1 23 25 27]",0.08867049217224121
82,144.51700904810343,"[15  0 20 16 12  6  5  2  3  8  9 10 26  4 21  1 11 23 25 27 19 22 28 13
  7 14 18 29 24 17]",0.15496253967285156
50,145.49973892542846,"[15 16 20  0 10 26  9  2  5 12  6 17 24 29 18 14  7 13 28  4 19 27 25 23
 11  1 21 22  3  8]",0.10400962829589844
31,145.6830662616118,"[17 29 18 14 13  7 23 25 27 19  4  2 24 26 10  0 20 16 15 12  6  5  9  8
  3 28 22 21  1 11]",0.16287922859191895
56,146.75898553854591,"[23 25 27 19  4  5  6 24 29  2  9 26 10  0 20 16 15 12 17 18 28 22  3  8
 11  1 21 14 13  7]",0.12842488288879395
36,146.77966864518538,"[25 27 19 23 28 18  9  4 15 20 16 12  6 17  5 10  0 26 24 29  2  3  8 11
  1 21 22 14 13  7]",0.12415289878845215
