Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
14,142.04668425817408,"[ 6  5 27  0 14 20 22 10 11 18 24 12 15  1 13  3 19 29  9 26 17  8 21  7
 28 16  4 23  2 25]",500,100,0.1,30,10.350837469100952
75,142.58625373002621,"[21 25  2  7 16 28 23 22 24 15  1 13  4  8 17 26  9 29 19  3 12 18 11 10
  0 14 20 27  5  6]",500,100,0.1,30,7.350378036499023
16,143.07863052468932,"[21 16 28  7 25  2 23 20 14  0 27  5  6 10 22 11 18 24 12 15  1 13 26  9
 17  8  4  3 19 29]",500,100,0.1,30,11.098599433898926
22,145.5455325816552,"[29 19  3  1 13  4 26  9 17  8 23 24 15 12 18 11 10 22 20 14  0 27  5  6
 25  2  7 28 16 21]",500,100,0.1,30,8.875908374786377
36,145.58240294465222,"[21 16 23 20 14 27  5  6  0 22 10 11 18 24 12 15  1 13  4 17 26  9 29 19
  3  8 28  7  2 25]",500,100,0.1,30,8.800591230392456
70,147.89568638535528,"[21 16 28  8  9 29 19  3 26 17  4 22 20 14  0 27  5  6 10 11 18 24 12 15
  1 13 23  7  2 25]",500,100,0.1,30,4.886888027191162
89,147.9955215852484,"[21  7  2 25 22 11 18 19 29  3 12 24 15  1 13  4  9 26 17  8 16 28 23 20
 14  0 27  5  6 10]",500,100,0.1,30,8.458812475204468
8,148.8554347868852,"[21  8 17 26  9 29 19  3  1 13 20 14  0 27  5  6 25  2  7 16 28 23  4 22
 24 15 12 18 11 10]",500,100,0.1,30,7.96099066734314
31,150.16097820787556,"[10 22 14  0 27  5  6 25  2  7 21 16 28  8 17  9 26  4 23 20 11 18 24 12
 15  1 13  3 19 29]",500,100,0.1,30,6.045546054840088
25,151.4334392735475,"[21 25  2 27  0 14 20 23  7 28 16  8  4 17 26  9 29 19  3  1 24 18 11 12
 15 13 22 10  5  6]",500,100,0.1,30,5.528242826461792
85,151.96953454610434,"[21 28 16  8 17 26  9  4 20 14  5  6 27  0 22 10 11 18 24 12 15  1 19 29
  3 13 23  7  2 25]",500,100,0.1,30,4.295285701751709
3,152.29836343387186,"[23  4  3 29 19 18 11 10  0 27  5  6 14 20 22 24 12 15  1 13 26  9 17  8
 16 28  7  2 25 21]",500,100,0.1,30,5.427500247955322
21,152.30938502765605,"[10  5  6 27  0 14 20 22 13 11 18 24 12 15  1  4 26  9 29 19  3 17  8 28
 16 21  7 25  2 23]",500,100,0.1,30,8.91208791732788
72,153.83372843038796,"[20 14  0 27  5  6 25  2  7 21 16 28  4  3 29 19  9 26 17  8 23 22 10 11
 18 24 12 15  1 13]",500,100,0.1,30,9.043562650680542
82,153.93227410871907,"[13 15 12 24  1  3 19 29  9 26 17  4  8 21 16 28  7  2 25 23 20 22 18 11
 10  5  6 27  0 14]",500,100,0.1,30,6.52763295173645
7,154.04174691455233,"[10 22 18 11 14  0  5  6 27 20 25  2  7 16 28 23  4 13 24 12 15  1  3 19
 29  9 26 17  8 21]",500,100,0.1,30,7.705358028411865
92,154.41958604191996,"[25  2  7 21 16 28 23 11 18 12 15  1 13  4 20 14  0 27  5  6 10 22 24  3
 19 29  9 26 17  8]",500,100,0.1,30,4.711608171463013
23,155.18474460688577,"[11 18 12 24 15  1 13  3 19 29  9 26 17  4 22 10 27  0 14 20  8 21 25  2
  7 16 28 23  5  6]",500,100,0.1,30,4.442956209182739
84,155.43913584332338,"[21  7  2 25 27  5  6 10 22 11 18 12 15 24  1 13  4  8 16 28 23 20 14  0
  3 19 29  9 26 17]",500,100,0.1,30,7.741409063339233
44,155.6759229612021,"[27  0 14 20 22 23  2  7 21 25  5  6 10 11 18 12 24 15  1 13  3 19 29  9
 26 17  4  8 16 28]",500,100,0.1,30,5.258825302124023
38,155.67941102345736,"[10 11 18 24 12 15  1 13  8 16  7  2 25 21 28 23 20 22 27  5  6  0 14  4
 17 26  9 29 19  3]",500,100,0.1,30,6.175037622451782
88,155.70144426641033,"[21  7  2 25  0 14 22 18 11 10  5  6 27 20 13 24 12 15  1  3 19 29  9 26
 17  4 23 28 16  8]",500,100,0.1,30,5.708595037460327
63,156.69818406609605,"[10 27  5  6 25  2  7 21 16 28  8 26  4 13  1 24 15 12 18 11 22 20  0 14
 23 17  9 29 19  3]",500,100,0.1,30,6.7722203731536865
51,157.0643845156545,"[10 14 22 11 18  1 13 24 15 12  3 19 29  9 26 17  8  4  0 27  5  6 20 23
 28 16 21  7  2 25]",500,100,0.1,30,4.448959589004517
