Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
69,154.26028989630922,"[24 19  4 28 10  6  7  8 16 13  2 29  9 23 18 22  0 11 20 27 26  5  1 25
 14  3 15 12 17 21]",2000,100,0.95,150,0.058881282806396484
86,155.8601779918706,"[15 12 21 17 23 10  6 28 11 20  9 29  2 13  4 16  8  7 27 26  5  1 25  3
 14 22  0 18 24 19]",2000,100,0.95,150,0.07058000564575195
18,156.60152938588627,"[19 24 18  0 20 11 14  5  1 25 15  3 26 27  9 10  6 28 29  2 13  4  7  8
 16 22 23 17 21 12]",2000,100,0.95,150,0.06527066230773926
93,157.23156778624386,"[13  2 29  9 20 11 22  0 18 24 28 27 26 14 25  1  5  3 15 12 21 17 23 10
  6  7  8 16  4 19]",2000,100,0.95,150,0.03975796699523926
65,160.13793407690892,"[ 4 16  8  7 19 10 11  9 28  6  0 22 18 24 23 21 12 17  3 15 25  1  5 14
 26 27 20 29  2 13]",2000,100,0.95,150,0.07304644584655762
12,160.19981968236527,"[21 12  3 15  5  1 25 20 11 22  0 10  6  7  8 13  2 29  9 28 16  4 19 24
 18 23 17 14 26 27]",2000,100,0.95,150,0.06270384788513184
92,160.49228812740054,"[ 7  8 16  4 13  2 29  9 28 19 24 18  0  6 10 22 23 14  3 15 25  1  5 26
 20 11 27 12 17 21]",2000,100,0.95,150,0.03263425827026367
77,161.59286319885464,"[12 21 22  0 28 16  4 13  2 29  9 20 11 27 14  3 15 17 23 18 24 19  8  7
  6 10 26  1  5 25]",2000,100,0.95,150,0.05754208564758301
95,162.06714700223267,"[12 17 21 23  3 25  1  5 26 20 28 16  8  4  7 19  0 18 24 22 10  6 13  2
 29  9 11 27 14 15]",2000,100,0.95,150,0.05494832992553711
40,163.07107770563312,"[ 0 18 24 21 12 17 22 28 16 13  2 29  9 20 27 26  5  1 25 15  3 23 14 11
 10  6  7  4  8 19]",2000,100,0.95,150,0.03301048278808594
1,165.07772970582243,"[19  4  7  8 16 13 28 22 18 14  3 15  5  1 25 26 20  6 10  0 24 21 12 17
 23 27 11  9 29  2]",2000,100,0.95,150,0.06878161430358887
98,165.9085240267741,"[13  4 16  8  7 19 24 18 22  0  6  9 29  2 28 10 14  3 26 27 11 20 23 17
 21 12 15 25  5  1]",2000,100,0.95,150,0.04037332534790039
38,166.24513144664803,"[15 14 27 23 17 21 12  3 25  1  5 26 22  0 18 24 19  9 20 11 10  6  7  4
  8 16 28 13 29  2]",2000,100,0.95,150,0.03926444053649902
52,166.42087819954526,"[ 1  5 25 26 27  9 29  2 13 10 20 11 14  3 15 23 24 17 12 21 18  0 22 28
  6  7  4 16  8 19]",2000,100,0.95,150,0.028296709060668945
67,166.82761073438593,"[19  6  8 16 28  2 13 29  9 20 11 22 18 23 17 21 12  3 15  1 25  5 14 26
 27 10  4  7  0 24]",2000,100,0.95,150,0.06006956100463867
13,167.53919370960364,"[13  4  8  7  6 19 24 18 23 22  0 10 16 28  2 29  9 20 26 14  3 17 21 12
 15 25  1  5 27 11]",2000,100,0.95,150,0.056052446365356445
82,167.58425669060398,"[15  3 25  1  5  6  8  7 16 28 10 23 21 12 17 14 22  0 18 24 19  4 13  2
 29  9 20 11 27 26]",2000,100,0.95,150,0.0388796329498291
