Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
91,138.52185122899195,"[ 1  5 25 15  3 14 26 27 11 20  9 28  6 10  0 22 18 23 17 12 21 24 19  7
  8 16  4 13  2 29]",500,100,0.1,30,3.5106592178344727
95,140.42317552275287,"[12 21 17 23 22 10  6  7  8 16  4 19 24 18  0 28 13  2 29  9 20 11 27 26
  5  1 25 14  3 15]",500,100,0.1,30,5.703797340393066
67,141.3548187951305,"[24 18 23 17 21 12 15  3 14 25  1  5 26 27 22  0 10  6 28 11 20  9 29  2
 13 16  8  4  7 19]",500,100,0.1,30,6.068405628204346
32,143.09516952573762,"[15  3 14 25  1  5 26 27 11 20  9 28 29  2 13  4 19  7  8 16  6 10 22  0
 18 24 23 17 21 12]",500,100,0.1,30,3.3267650604248047
2,144.71235114701545,"[12 21 17 23 15  3 14 27 26 25  1  5  9 20 11 22  0 18 24 19  4 16  8  7
  6 10 28 13  2 29]",500,100,0.1,30,3.560232400894165
4,144.99929968169485,"[19  4 16  8  7  6 10 28 13  2 29  9 20 11  0 22 14 27 26  5  1 25 15  3
 23 18 24 17 21 12]",500,100,0.1,30,4.313006401062012
54,145.22540525013966,"[22  0 18 24 19  6  7  8 16  4 13  2 29  9 28 10 11 20 27 26 14  3 15 25
  1  5 23 17 21 12]",500,100,0.1,30,4.912577390670776
36,145.56238143676993,"[ 1  5 25 15  3 14 26 27 11 20  9 28 10  6  8 16  7  0 22 18 23 17 12 21
 24 19  4 13  2 29]",500,100,0.1,30,5.9463841915130615
11,145.70421481862553,"[24 18 23 17 21 12 14  3 15 25  1  5 26 27 20 11  0 22 10  6  7  8  4 16
 28 13  2 29  9 19]",500,100,0.1,30,3.2013208866119385
25,146.23192139142608,"[12 21 17 23 18 22 24 19  4 13  2 29  9 26 27 20 11 28 16  8  7  6 10  0
 14  3 15 25  5  1]",500,100,0.1,30,4.1183483600616455
