Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
76,436.61181905734685,"[19 46 54  4 38 66 25 37 92 75 84  2 40 80 53 69 41 61 23 64 58 47 82 87
 48  8 76 95 42 71 67 79 94 93 27 81 39 78 57 36 31  9 86 49 24 29 51  3
 22 32 97 63 91 44 33  7 13 85 43  1 74 28 52 59 73 72 83 70 30 60 17 96
  6 62 55 16 12 15 65 90 99 11 98 21 18 14 56 35 89 34 68 45  5 77 20  0
 10 50 88 26]",3500,400,0.95,200,0.23169660568237305
81,458.3141168445147,"[12 16 58 20 50 68 99 69 22 28 97 35 18 33 44 91 63 57 36 39 66 26 88 34
 32 56 21 43 11 46 75 92 37 25 23 14 13 49 29 80 53 52 59 17 30 60 96 70
 76 67 24 73 40 95  2 51 48  3  8 98  4 90 64 79  5  6 62 55 47 78 15 82
 87 38 65  0 10 42 72 83 71 77 31  9 86 45 54 61 41 74  1 84 93 81 85  7
 89 94 27 19]",3500,400,0.95,200,0.2392432689666748
86,466.8908309542153,"[91 33 28 22 35 99 81 64  0  5 77 26 65 82 87 92 75 27 93 19 66  4  9 45
 68 69  8 88 20 16 47 15 78 57 36 39 38 90 34 97 32 98 74 41 61  1 43 63
 24 73 53 80 49 31 79 76 95 29  2 51 86 48 40 83 42 94 84 54 23 21 11 46
 37 25 56 14 13 85 18 89 52 59 72 17 60  6 71 62 70 96 30 58 12 55 50 10
 67  3  7 44]",3500,400,0.95,200,0.23533201217651367
84,469.69068669848156,"[73 72 83 59 40 79 62 71 77 65 38 82 66 22 28  3 35  7 85 43  1 45 19 92
 37 25 46 75 27 94 68 51 31 76 67 48 34  8 88  5 50 90 87 39 36 57 15 55
 78 81  4 13 56 18 80 53 60 96 30 17 70 42 95  6 47 58 24  2  9 86 61 41
 69 74 21 84 93 54 23 99 11 98 32 52 29 89 97 91 63 44 33 14 49 26 64 12
 20 16  0 10]",3500,400,0.95,200,0.22594332695007324
85,470.16334704243906,"[44 91  7 33 97 45 81 93  4 38 58 47 57 36 78 39 66 15 55 16 12 79 72 59
 83 73 40 42 95 32 35 22 62 60  6 70 30 17 96 18 14 56  8 99 61 41 23 19
 68 11 74 43  1 37 92 25 75 88  0 20 50 31 24 52 80 53  2 29 49 48 86 34
  9 64 26 10 77 71  5 98 21 69 84 94 27 46 54 63 13 85 28 89  3 51 76 67
 90 65 82 87]",3500,400,0.95,200,0.23816871643066406
12,473.2652833583334,"[94 81 67  5 88 64 93 46 37 92 23  1 74 98 43 11 99 84 15 39 82 66 87 38
 65  0 47 20 29 76 42 72 73 40 83 52 28 35 97 91 56 14 13 33 44 21 68 45
 51  8 54 25 19  9 86 49  3 22 32 61 41 69 63 85  7 18 89 34 48 27 75  4
 90 26 50 10 79 31 95 70 24  2 59 80 53  6 62 16 57 78 58 60 17 96 30 12
 77 71 55 36]",3500,400,0.95,200,0.2246410846710205
77,477.8013166258783,"[11 91 44 33 56 35 32 97 85 13 63 94 75 46 84 28 14  7 52 17 30 70 96 60
 77 71  5 79 27 19 93 25 92 37 54 74  1 21 48  8  9 67  3 89 18 22 45 88
  6 12 55 58 50 26 90 87 68  2 24 86 98 43 64 65 57 36 16 20  0 34 99 61
 41 23 69 81 66 38 62 42 72 83 10 47 78 15 39 82  4 76 95 73 59 80 53 40
 29 49 31 51]",3500,400,0.95,200,0.2266082763671875
23,483.32892020693487,"[12 55 58  6 72 53 28 18 40 29 76 51 35 97 32 89  5 50 79 31 86 68 94 46
 92 23 54 61 74 43 91 84 81 25 37  4 38 87 90 67 49  3 33 44  8 48 34 63
 22 52 59 80 83 73 13 56 85  7 14 24  2 95 62  0 10 16 47 20 15 57 78 39
 36 66 82 75 19 64 65 26 88 27 93 69 99 98  1 21 11 41 45  9 42 70 30 96
 17 60 77 71]",3500,400,0.95,200,0.21738982200622559
11,483.34537696084584,"[53 56 14 13 18 89  3 59 72 83 36 39 94 69 97 35 80 24 95 42 70 60  6 29
 49  9 99 11 23 41 61 86 51 31 40 73 76 79 50 65 47 58 20 10  0 26 16 55
 78 57 15 77 96 30 17 71 67 45 81 93 19 38 66 87 82 90 12 62  5  2  8 22
 32 63 28 52 33 44  7 85 74 43  1 54 46 25 21 98 91 34 48 68 64 88  4 75
 92 37 27 84]",3500,400,0.95,200,0.23189616203308105
41,484.8748241863396,"[98 21 43 74  1 48  8 79 88 64 50 26 12 55 58 47  0 62 42 72 53 96 30 60
  6 95  2 29 89 18 14 56 41 61 76 67 51 99 11 23 54 19 81 65 15 57 38 66
 25 92  3 80 59 22 63 69 68 86 45  9 49 20 16 10  5 77 71 24 31 34 32 97
 35 28 13 44 33  7 85 91 84 94 93 46 27 52 83 73 40 90  4 82 39 87 75 37
 36 78 70 17]",3500,400,0.95,200,0.22106146812438965
