Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
60,303.3155413173512,"[60 67  2 49 38 43 21 32 66  7 56 33 91 35 34 25 93 23 86 81 84 90 99 72
 11 18 55 36 48 24 12 15 88 95 71 50  3 64 29 19 39 80 45 52 10 30 79 92
 75 51 82 57 61 42 47 44 16 28 41  8 37 31 89 17 59 78  9 74 65 87 83 77
 22 20 14  0 27 94 53 68  5 58  6 46 40 54 97 76 62 96 73 13 63 70  1 69
 85 26 98  4]",800,500,0.2,30,197.3346347808838
18,303.61772935966553,"[43 34 25 93 35  2 33 56 66  7 49 16 41 89 31 17 26  9 74 85 78 59 98 20
 14  0 27 75 51 61 97 23 60 67 42 91 82 68 53 94 99 72 11 39 80 52 45 84
 90 77 22 36 55 18 48 12  1 70 83 69 87 65 19 29 64 50 71  3 95 88 24 15
 63 13 86 62 76 57 58  5  6 40 46 54 92 10 30 79 81 73 96  4 47 44  8 37
 28 38 32 21]",800,500,0.2,30,192.71169638633728
68,317.8208897438784,"[40 46  6 54 53 94 27  0 14 75 51 91 56 33 35 34 25 93  2 49 66  7 42 77
 22 84 90 24 48 36 55 18 39 80 11 72 81 96 47 44 38 21 32 43 16 28 41 76
 20 79 30 10 92 58  5 68 82 57 61 97 67 60 23  4 98 59 78  9 69 50  3 95
 88  1 99 52 45 12 15 70 83 13 73 86 62 63 71 64 19 29 65 87 74 85 26 17
 89 31  8 37]",800,500,0.2,30,193.62063550949097
38,318.12587674809436,"[21 43 56 93 91 23 76 81 15 12 24 84 45 52 10 30 92 79 77 20 62 86 96 73
 13 63 70  1 48 39 80 18 55 36 11 72 99 90 22 97 61  0 14 27 94 75 57 51
 82 46 40  6 54 58  5 68 53 83 59 78 26 85 74 87 65 19 29 64 50  3 71 95
 88 69  9 31 89 17 98  4 47 44  8 37 32 38 28 60 67 42  2 33 35 34 25  7
 66 49 16 41]",800,500,0.2,30,197.4437553882599
41,325.11153083109986,"[26 59 78 85 74 69 50 95 88  1 70 13 17 31 89  8 37 38 32 43 21 41 44 47
  9 87 65 19 29 64  3 71 83 86 62 99 45 52 79 92 30 10 72 80 39 11 18 55
 36 48 12 15 73 96 23 42 91 35 34 25 93 33  2 67 28 16 66  7 56 49 60 76
 97 61 20 81 63 24 84 90 14 75 82 51 57 77 22  0 27 94 53 68  5 58  6 40
 46 54  4 98]",800,500,0.2,30,198.04968237876892
61,327.7842325827805,"[21 43 32 38 16 62 86 96 73 81 24 15 88 71 50  3 29 64 19 98  4 76 61 97
 47 17 59 78 26  9 89 31 37  8 44 85 74 65 87 69 83 13 84 90  0 27 53  5
 68 58  6 40 46 54 91 93 25 34 35  2 33 56 66  7 49 28 41 70  1 95 63 12
 48 36 55 18 11 72 99 45 52 92 79 22 77 20 14 94 75 51 82 57 42 67 23 60
 80 39 30 10]",800,500,0.2,30,197.03139209747314
28,332.4561559076512,"[19 29 69 65 87 26 78 59 83 13 63 73 96  4 44  8 37 16 67 42 91 82 51 75
 94 22 77 62 86 81 90 84 48 36 55 18 80 39 11 72 99 79 27 53 68  5 58  6
 40 46 54 10 30 92  0 14 20 97 61 57 52 45 76 23 60 41 38 34 25 93 35  2
 33 49 56  7 66 28 89 31 17  9 64  3 50 71 12 15 24 70  1 88 95 74 85 98
 47 32 43 21]",800,500,0.2,30,198.51284337043762
59,333.72591011125735,"[31 17 26  9 74 87 65 29 19 69 85 89 37 21 43 32 38 16 41  8 44 47 98 78
 59 96 62 86 81 15 12 88  1 13 63 70 24 72 39 80 55 18 48 36 11 52 45 99
 79 53 94 51 54 58  5 68 30 10 92  0 14 27 75 20 76 23 60  2 91 35 93 34
 25 33 56 66  7 49 28  4 83 95 71 50  3 64 73 77 22 84 90  6 40 46 82 57
 61 97 42 67]",800,500,0.2,30,196.59371066093445
1,335.40024366605985,"[21 38 96 83 63 15 24 77 97 61 91  2 35 34 25 93 33 56 66  7 49 28 16 41
 60  4 98 59 85 69 74 65 87 29 19 50 71  3 95 55 18 39 80 36 48 12 88  1
 70 64  9 26 78 17 31 89 47 23 42 57 51 40 46  6 54 58 10 30 92 79 52 45
 11 72 99 90 84 22 81 62 86 73 13 44  8 37 43 32 67 76 20 14  0 27 75 94
 53 68  5 82]",800,500,0.2,30,193.74158906936646
3,335.92711966289875,"[34 91 68  5 58  6 40 46 54 53 27  0 14 22 77 62 20 57 61  2 56 33  7 66
 49 41  8 37 31 89 17 59 69 74 85 78 26  9 87 65 29 19 64  3 71 50 95 88
  1 70 24 15 12 48 36 18 55 80 39 11 86 76 23 42 38 21 32 43 98 83 63 13
 73 96 81 79 92 75 51 82 94 90 84 72 99 52 45 30 10 97 35 25 93 67 60  4
 47 44 16 28]",800,500,0.2,30,195.13027453422546
63,337.2734232978738,"[66 93 82 51 27 14 76 47 78 59 96 73 63 95 88  1 48 36 18 55 39 80 11 72
 45 52 99 84 90 22 81 13 83 69 50 71  3 64 29 19 65 87 74 85 17 89 44 42
 91 34 25 35  2 67 86 24 12 15 70 98 26  9 31 38 21 43 32 60 23 62 20  0
 92 79 10 30 77  4 37  8 41 16 28 49  7 56 33 97 61 57 75 94 53 68  5 58
 54  6 40 46]",800,500,0.2,30,195.83090996742249
75,339.3494930507677,"[95  1 12 48 36 55 18 80 39 63 13 83 59 78 85 74 69 19 29 64 50  3 70 84
 90 99 11 72 52 45 10 30 92 79 22 77 81 73 96 76 97 61 57 82  6 40 46 54
 68 53 94 27  0 14 20 62 86 35 93 25 34 91 42 23  4 98 26  9 71 88 24 15
 47 41 28 16  8 37 31 89 17 87 65 44 60 67 49 66  7 56 33  2 75 58  5 51
 38 43 32 21]",800,500,0.2,30,195.85421299934387
21,339.49091680004466,"[32 38 41  8 37 44 47 76 20 14 94  5 58  6 40 46 54 82 57 51 61 97 62 73
 13 70 63 45 52 10 30 92 79 60 28  7 66 56 33 91 75 27 53 68  0 81 86 16
 49  2 35 25 34 93 67 42 77 22 99 72 55 18 39 80 11 36 48 12 83  4 98 59
 78 26 17 89 31  9 85 74 87 65 29 19 64  3 50 71 69 96 24 15 88 95  1 84
 90 23 43 21]",800,500,0.2,30,198.02656316757202
32,341.13194735563405,"[29 19 65 87 74 85 26 78 59 98 62 84 90 80 39 36  3 71 50 64 69  9 31 37
  8 44 41 16 28 49  2 66  7 56 33 35 93 91 82 46 54  5 68 53  0 14 20 76
 23 60 38 21 43 32 67 42 97 61 57 51 75 27 94 92 79 99 72 11 18 55 48 24
 12 15  1 95 88 70 63 13 81 22 77 30 10 52 45 34 25 86 96 73 83  4 47 89
 17 58  6 40]",800,500,0.2,30,194.69720435142517
98,341.8850661568998,"[87  9 26 78 59 17 31 89 44 41 16 28 49 91 82 68  5 58  6 40 46 54 53 94
 14 62 76 23 67 96 73 81 20 97 35 93 25 34 33  7 66 56 61 57 51 75 27  0
 90 84 22  2 38 21 32 43 37  8 47  4 13 99 72 45 52 79 30 10 92 77 63 70
 88 95 86 42 60 24 12 36 55 18 39 80 11 48 15  1 83 98 85 74 65 19 29 64
  3 71 50 69]",800,500,0.2,30,188.64762330055237
54,342.9579347647959,"[ 9 85 74 87 65 19 29 64 26 78 59 17 47 60 93 34 25 35 91 76 81 24 15 12
 48 84 30 10 52 45 99 72 11 55 18 36 77 14 57 82 54  5 58 68 51 61 97 20
 62 86 96 73 70  1 83 98  4 69 71 50  3 13  0  6 40 46 75 27 94 53 92 79
 80 39 88 95 63 90 22 23 44 89 31 37  8 41 28 16 32 21 43 38 66  7 49 56
 33  2 67 42]",800,500,0.2,30,196.84404706954956
76,343.4910528407427,"[22 77 47 44  8 37 21 43 32 38 56  2 91 42 67 28 49  7 66 33 35 93 25 34
 82 51 53 68  5 58 54 75 57 61 97 20 62 86  4 89 17  9 85 69 50 71 64  3
 88  1 63 81 27 94 40 46  6 45 52 99 79 30 10 92  0 14 76 23 60 98 26 78
 59 83 12 55 18 36 48 24 15 73 96 13 70 95 19 29 65 87 74 31 16 41 90 84
 72 11 80 39]",800,500,0.2,30,195.79532861709595
71,344.2291936058666,"[40 46  6 54 68 51 82 91 35  2 33 56  7 66 44 26  9 85 69 83 63 13 81 79
 30 10 53 94 27 75 57 34 25 93 20 86 62 76 23 60 49  8 37 41 28 32 21 43
 38 16 67 42 61 97 14  0 92 52 45 99 72 80 39 11 48 90 77 22 84 55 18 36
 24 12 15 88  3 64 74 78 59 98  4 70  1 95 71 50 87 65 19 29 17 31 89 47
 96 73  5 58]",800,500,0.2,30,196.2087275981903
62,344.83087743275934,"[89 17  9 64 29 19  3 50 83 73 62 20 76 23 16 43 21 32 38 93 35  2 33  7
 66 67 42 75 46 40  6 54 53 22 90 84 81 96 59 78 26 85 74 65 87 69 71 95
 88  1 70 63 13  4 98 47 44 60 28 41  8 37 31  0 94 92 79 30 10 45 52 99
 72 24 12 15 48 36 39 80 11 55 18 77 97 61 57 51 82 91 34 25 56 49 86 14
 27 68  5 58]",800,500,0.2,30,196.59595727920532
47,346.7750740958079,"[57 61 91 42 28 16 38 32 43 21 41  8 37 44 31 89 17 47 60 67 23 62 86 81
 73 96 50  3 19 29 64 69 85 98  4 83 95  1 63 13 49 56 33  2 93 34 25 35
 82 54 51 75 14  0 27 94 53 68 92 79 30 10 52 45 72 99 77 22 90 84 12 15
 88 71 74  9 26 78 59 70 24 48 36 11 80 39 18 55 65 87 76 20 66  7 97  5
 58  6 40 46]",800,500,0.2,30,191.88224267959595
91,347.0691842381391,"[65  9 31 89 97 82 91 34 25 93 35 33  2 56 66 67 60 23 73 13 63 70  1 95
 71 64 85 17 98  4 86 62 77 22 90 84 72 80 39 18 55 36 48 81 61 42 20 14
  0  5 58  6 40 46 54 68 53 94 27 30 10 45 52 99 11 24 15 12 88  3 50 69
 87 74 26 78 59 76 57 51 75 92 79 96 47 44  8 37 21 43 32 38  7 49 28 16
 41 83 19 29]",800,500,0.2,30,194.70145225524902
4,347.1663978665339,"[99 79 92 57 61 35 93 34 25 82 46 40  6 94 27 97 20 77 22 48 36 55 18 80
 39 11 72 81 86 62 76 23 42 67 60 16 56 49 28 41 44 31 89 17 59 78 26 74
 87 65 19 29 64 50 14  0 75 53 68  5 58 54 21 43 32 38 47 96 73 13 63 24
 15 12 84 90 45 52 10 30 51 91  2 33  7 66  8 37  9 85 69 83 70  1 88 95
  3 71  4 98]",800,500,0.2,30,195.0452525615692
55,347.8182233485822,"[27 57 61 97 34 25 93 33  7 56 66 43 21 37  8 44 31 89 17 78 74 29 19 50
 69 59  4 47 41 16 28 60 23  2 35 49 67 42 76 62 73 96 48 36 18 55 39 45
 52 72 11 80 99 79 92 94 53  0 14 20 86 81 90 84 63 70 95 88  1 24 12 15
 22 77 13 83 71  3 64 26  9 65 87 85 98 32 38 91 82 51 75 30 10 68  5 58
 54  6 40 46]",800,500,0.2,30,195.1834876537323
