Execução,Distância Total,Melhor Caminho,Tempo de Execução,Algoritmo,Semente,Iterações,Temperatura,Resfriamento,Tentativas,População,Mutação
55,355.88374939051306,"[44 33  7 56 35 97 32 22 28 18 89 49 62 12 55 90 54 23 21 98 63 91 85 13
 14 52 59 24 79 64 57 36 39 82 87 66 75 92 37 25 46 93  6 60 17 96 30 70
 71 77 26 65 78 15 47 58 16 20  0 10  5 67  3 34 48  8 88 50 94 27 19 81
 68 45 31  2 29 40 73 53 80 83 72 42 95 76 51  9 86 43  1 74 61 41 11 69
 99 84  4 38]",23.74413228034973,Hill Climb,14,,,,,,
39,356.321132455824,"[16 58 55 12  6 60 17 96 30 70 78 57 36 64 67 89 28 97 98 21 43 74  1 99
 68 45 26 20  0 10 79 51 69 11 41 61 23 54 46 25 37 92 75 27 66 39 82 87
 38  4 90 65 15 47 76 31 24  2 48 32 22 34  8 86  9 88 50  5 77 71 62 42
 95 40 53 80 83 72 73 59 33 44  7 13 14 56 18 52 29 49  3 35 85 91 63 81
 19 93 84 94]",18.048895835876465,Hill Climb,14,,,,,,
29,356.4274329876311,"[55 16 20  0 58 47 65 10 79 76 71 62 12  6 42 72 83 59 52  4 66 87 82 39
 36 57 78 15 38 90 64 26 67 31 51  2 29 49  3 34 48  8 86  9 45 68 99 11
 74 23 54 46 75 92 37 25 61 41 94 70 60 17 96 30 89 18 28 98 21  1 43 63
 91 85 35 97 32 22 88 50  5 77 95 53 80 73 40 24 81 19 27 93 84 69 56 14
 13  7 33 44]",21.17057704925537,Hill Climb,14,,,,,,
77,361.4967038981333,"[91 63 88 26 10  0 16 20 50 21 43 74  1 38 87 66 75 54 23 27 19  4 82 39
 36 57 78 55 12  6 60 17 96 30 70 72 83 80 53 33 44  7 85 35 56 13 14 18
 28 89  3 49  2 95 24 29 32 97 52 59 73 40 42 62 71 77  5 79 67  9 45 68
 81 94  8 86 51 31 76 58 47 15 65 64 90 92 37 25 46 93 84 99 69 61 41 11
 98 22 34 48]",18.526102304458615,Hill Climb,14,,,,,,
65,362.7572626431979,"[91 44 33  7 14 29 24  2 94 54 23 61 41 11 98 21 43  1 74 84 27 19 81 68
 45 86  9 88 10  0 20 16 58 50 51 49  3 48  8  4 66 87 90 64 26 53 80 83
 72 42 95 31 76 79 67 93 46 25 37 92 75 65 47 15 55 12 62 77  5 71  6 60
 17 96 30 70 78 57 36 39 82 38 32 85 13 56 22 89 34 99 69 63 97 35 28 18
 52 59 73 40]",20.948946237564087,Hill Climb,14,,,,,,
45,363.8939063498864,"[36 57 39 66 38  4 75 92 37 25 46 54 61 41 74  1 23 84 93 51  2 24 29 49
  3 34 48  8  9 31 76 79 67 45 68 94 99 11 43 85  7 33 44 91 63 69 90 64
 88 95 53 80 42 62 16 55 47 58 20  0 10 26 50  5 77 71 86 98 21 22 32 97
 35 13 14 83 72 73 40 89 28 56 18 52 59 70 30 96 17 60  6 12 87 82 78 15
 65 81 19 27]",18.845197200775143,Hill Climb,14,,,,,,
19,365.5214660711544,"[69 99 84 46 25 54 61 41 23 19  4 38 64 26  5 77  0 20 16 58 47 82 87 66
 27  8 48 49  2 51 31 95 40 24 29 76 79 10 57 36 39 75 92 37 11  1 74 43
 21 98 94 93 81 67 73 59 80 53 17 96 30 70 60 12 55 78 15 65 90 34 32 97
 63 91 44 33  7 14 18 52 83 72 42  6 62 71 50 88 45 68  3 89 28 56 13 85
 35 22 86  9]",20.14312720298767,Hill Climb,14,,,,,,
1,366.6065328508298,"[85  7 33 44 91 63 84 94 86  9 70 96 30 60  6 62 19 25 37 92 75 66 15 78
 57 36 39 82 87 38  4 77 71 42 95 24 40 73 35 97 32 22 34  8 99  1 74 43
 21 98 11 41 61 23 69 28 18 89  3 48 45 20 16  0 10 26 50  5 79 67 31 76
 12 55 58 47 65 90 64 88 51  2 29 49 68 81 27 93 46 54 56 13 14 52 59 80
 53 83 72 17]",17.718454599380493,Hill Climb,14,,,,,,
10,366.63295563659256,"[25 46  3 89 52 59 80 53 83 72 76 71  5 79 67  9 86 10  0 20 16 58 82 66
 75 37 92 39 78 55 12 60 17 96 30 70 42  6 62 77 81 27 93 94 84 23 54 19
  4 64 26 50 88 90 87 38 45 68 99 69 43  1 74 61 41 11 21 98 63 91 85 97
 32 65 36 57 15 47 31 51 49  2 29 24 95 40 73 18 28 14 33 44  7 13 56 35
 22 34 48  8]",21.529438972473145,Hill Climb,14,,,,,,
44,366.9216865646933,"[92 75 27 81 68 90 82 39 36 57 78 62 72 53 80 59 52 63 69 11 23 94 45 88
 10 26 64 65 87 66 38  4 19 93 84 99  8 83 73 40 24 29 95 20 16 55 12  6
 60 17 96 30 70 42 71 77  5 50 67 28 18 56 13  7 85 91 44 33 14 31 76 79
  0 58 47 15 32 97 35 49  2 51  9 86 48 34  3 89 22 98 21 43  1 74 41 61
 54 46 37 25]",21.515052318573,Hill Climb,14,,,,,,
98,368.9824770620305,"[44 33  7 56 67 79 31 51  3 35 28 89 83 72  2 49  9 86 88  5 71 77 50 75
 92 37 25 46 61 41 74  1 43 21 11 68 45 26  0 16  6 60 17 96 30 70 47 15
 78 87 66 82 39 36 57 38  4 76 95 40 73 42 12 55 58 20 64 81 19 27 93 94
  8 48 34 32 97 22 90 65 10 62 24 29 53 80 59 52 18 14 13 85 91 63 98 69
 99 84 23 54]",21.555334329605103,Hill Climb,14,,,,,,
5,370.1444385407693,"[25 46 54 23 61 41 99 83 72 73 24 29 95 71 62 77 89 22 32 69 84 94 37 92
 75 27 93 66 87 82 78 57 36 39 38 68 45 90 65 15 47 58 20 64 81 19  4 26
 10  0 16 55 12  6 60 17 96 30 70 42  2 43  1 74 85  7 33 44 91 88 50  5
  9 86  3 49 51 31 67 79 76 40 53 80 59 52 18 28 97 63 98 21 11  8 48 34
 35 56 13 14]",23.564128160476685,Hill Climb,14,,,,,,
21,371.3432938869852,"[33 44 91 63 21 43  1 74 54 23  8 48 34 22 32 69 11 98 85  7 13 14 52 83
 29  2 49  9 86 10  0 65 57 36 39 66 75 92 37 25 46 93 94 51 31 95 70 30
 96 17 60 55 78 15 47 58 16 20 77 50 26 82 87 38  3 89 18 56 35 97 28 59
 80 53 72 42 62 71  5 84 61 41 99 68 45 67 79 12  6 73 40 24 76 88 64 90
  4 81 19 27]",18.923561573028564,Hill Climb,14,,,,,,
48,372.9158031141432,"[36 57 78 15 65 64 26 50  5 77 71 42 72 83 52 18 14 13 56 28  2 29 89 35
  7 44 33 53 80 59 49 94 93 19 81 24 40 73  3 34 22 32 97 85 91 63 46 25
 37 92 75 27 84 99 69 98 21 43 11 82 39 90 48  8 51 31 76 79 67 88 10  0
 20 16 58 47 55 12 62  6 60 17 96 30 70 95 54 23 41 61 74  1  4 66 87 38
 68 45 86  9]",25.056020975112915,Hill Climb,14,,,,,,
