Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
33,319.2576370983068,"[40 72 83 53 80 52 59 73 24 29 95 76 16 58 55 47 64 65 15 78 57 36 39 90
 81 19 75 92 37 25 27 99 69 28 18 89  2 42 30 96 17 70 60  6 12 62 71 77
  5 88 79 31 51  9 86 49  3 48  8 68 26 20  0 10 50 67 45  4 38 87 82 66
 46 54 23 84 93 94 34 22 32 85 91 44 33  7 13 14 56 35 97 63 98 21 11 43
  1 74 41 61]",800,500,0.2,30,204.4208846092224
42,337.9610215302503,"[39 36 57 55 12  6 62 71 10 26 90 87 82 66 38  4 81 68 45 64 65 78 15 47
 58 16 60 96 70 72 24 29 95 76 51  9 86 99 11 43  1 74 41 61 54 46 25 92
 37 75 27 19 93 48  8 34 89 56 14 13 35 97 98 21 23 84 94 69 63 91 44 33
  7 85 28 18 59 80 53 73 40  2 31 79  5 77  0 20 50 88 67 49  3 22 32 52
 83 42 30 17]",800,500,0.2,30,203.96126294136047
10,342.83523420231523,"[25 37 92 75 23 61 41 11 84 94 68 90 64 50 79 67 76 51 40 73 42 72 83 59
 52 18 28 35 97 85 91 63 98 48 86 88 10  0 20 58 16 47 57 36 39 78 15 55
 12 71  5 77 62  6 60 17 96 30 70 53 80 89 22 21 43  1 74 54 46 93 27 19
 81  9 56 14 32 69 99 45 24 29 95 26 65 38 87 82 66  4 31  2 49  3  8 34
 13  7 33 44]",800,500,0.2,30,202.18774843215945
35,342.9717441503697,"[44 33  7 35 98 11 19 66 87 82 39 15 78 55 12  6 60 17 96 30 70 24 89 56
 14 13 85 91 63 69 99 34 48  8  9 86 51 31 76 79 67 88 26 10 50 23 61 41
 54 27 81 90 47 58 16 20  0 65 64 45 68 94 84 93 75 92 37 25 46 74  1 43
 21 22 32 97 28 18 52 59 83 73 40  2 49  3 29 95 71 62 77  5  4 38 36 57
 42 72 80 53]",800,500,0.2,30,203.12085127830505
13,343.9963682977768,"[19 54 23 84 94 11 98 97 85 14 13  7 33 44 91 63 22 35 28 89  3 86  9 50
  5 77 71 42 52 59 80 53 30 72 83 73 40 24 95 88 90 38 57 36 39 82 66 92
 75 37 25 46 41 61 74  1 43 21 32 56 18 29  2 76 79 67 45 68 81 27 93 64
 26 10  0 20 16 58 15 78 12 55 47 65 87  4 99 69  8 34 48 49 51 31 62  6
 60 17 96 70]",800,500,0.2,30,203.88462901115415
18,344.0147641279295,"[74 43 91 85 35 56 52 29  2 24 95 42  6 12 55 47 78 15 57 36 82 65 90 64
 10 77 71  5 88 67 68 99 69 49 31 76 79 51 45 81 19 27 38 87 39 66  4 86
  9 48  3 59 80 53 83 72 73 40 70 17 96 30 60 62 50 26 58 16 20  0 75 92
 37 25 46 93 84 94  8 34 32 97 63 98 11 41 61 54 23  1 21 22 89 28 18 14
 13  7 33 44]",800,500,0.2,30,204.57745790481567
36,345.030197978522,"[57 36 66  4 46 54 23 41 61 74 43 11  1 97 28 13 56 35 22 32 63 21 98 48
 69 99 84 94 45 31 86  3 89 18 14  7 85 91 44 33 59 53 80 72 83 42 95 24
  2 76 71 62 12  6 60 17 96 30 70 50 81 19 37 25 92 75 27 93 49 29 40 73
 52  8 34  9 51 67 79 10 26 64 90 65 16 55 15 78 47 58 20  0  5 77 88 68
 38 87 82 39]",800,500,0.2,30,204.41422414779663
17,345.5870303744276,"[60 17 96 30 70 42 65 64 81 99 69 85 91 44 33  7 13 14 56 18 28 35 97 22
 32 63 21  1 41 61 23 98 89  3 49 51 31  9 86 45 88  5 77 71 40 73 59 80
 53 52 34 48  8  2 29 24 83 72 95 76 79 67 26 10  0 16 62 55 78 47 58 20
 50 68 94 93 54 46 25 37 92 75  4 38 87 82 39 66 27 19 84 74 43 11 90 36
 57 15 12  6]",800,500,0.2,30,198.48362112045288
94,346.28881728622446,"[60 17 96 30 70 42 88 50 26 78 57 36 39 87  4 90 65 20 16 55 58 15 47  0
 10 79 51  2 29 24 40 73 72 83 59 53 80 52  7 85 97 22 32 21 41 61 23 54
 46 94 99 69 98 11  1 43 74 63 91 44 33 13 35 28 95 71 77  5 64 67 86  9
  3 89 14 56 18  6 12 62 81 19 27 93 84  8 34 48 49 31 76 45 68 25 37 92
 75 66 82 38]",800,500,0.2,30,203.76619672775269
27,346.38551823487336,"[52 18 28 89 35 14 13 97 63 69 34  8 86  0 20 16 55 62 42 40 24 31 51 68
 94 84 99 21 98 22 32 56 85 91 74 43 11 23 54 25 46 93 19 81 88 10 77  5
 71 70 30 96 17 60  6 12 58 65 90 38  4 64 26 50 79 76 67 47 15 78 57 36
 39 82 87 66 75 92 37 27 45  9 48  3 49  2 29 95 73 72 83 59 80 53 33 44
  7  1 41 61]",800,500,0.2,30,202.9600031375885
6,346.7330247115338,"[98 69 32 22 89 52 83 95 31 76 67 10 50 64 81 27 19 93 84 94 99 11 46 37
 75 92 25 54 23 41 61  1 63 91 85 14 56 35 97 34  8 48 68  4 87 65 15 47
 20 12  0 26 90 38 66 82 39 36 57 78 55 58 16 77 71  5 79 51  9 86 49 59
 80 53 72 40 29 42 73 24  2  3 28 18 13 33 44  7 21 43 74 45 88 62  6 60
 17 96 30 70]",800,500,0.2,30,203.69995260238647
43,346.8867005457287,"[44 33  7 14 28 18 89 80 53 30 70 42 24 49  8 22 32 97 98 69 84 93 54 23
 74  1 43 21 35 56 13 85 91 63 99 86  9 45 68 94 46 37 92 27 19 25 75  4
 38 66 87 82 90 65 20 16 77 67 51 31 76 79 88 64 39 36 57 78 15 47 55 58
  0 10 26 81 61 41 11 34 48  3  2 29 95 71 62  5 50 40 73 72 83 52 59 17
 96 60  6 12]",800,500,0.2,30,205.103125333786
15,347.03744692887483,"[91 63 97 35 32 22  3 52 80 53 56 13 14 33 44  7 85 98 69 84 93 90 64 57
 36 20  0 26 88 50  5 71 62  6 12 16 65 39 66  4 19 75 37 92 25 46 54 23
 41 11 21 43  1 74 61 99  8 34 48 49  2 95 73 40 24 29 89 18 28 94 27 81
 68 45 86  9 51 31 67 79 76 42 70 60 17 30 96 72 83 59 77 10 38 87 82 78
 15 47 58 55]",800,500,0.2,30,202.91850066185
75,347.5543573055567,"[60  6 12 16  0 90 38  4 11 21 98 69  8 48  3 34 88 26 50 68 45 10  5 71
 62 95 76 67 81 19 93 27 94 84 99 97 28 56 13 85 74 43  1 61 41 23 54 46
 25 37 92 75 63 91 44 33  7 14 89 40 73 83 72 17 96 30 70 42 24 29  2 49
 86  9 51 31 79 77 20 58 55 47 15 78 39 82 87 66 36 57 65 64 53 80 59 52
 18 35 32 22]",800,500,0.2,30,203.64333963394165
60,347.90445252676045,"[74  1 43  3 42 70 17 96 30 72 83 73 40 53 80 59 52 29 24 95 71 62 77 50
 94 93 27  4 66 87 38 65 47 58 55 16 20  0 26 90 82 39 36 57 78 15 64 45
 68 23 54 61 41 11 21 34  8 86  9 48 22 32 13  7 33 44 91 63 98 69 99 97
 35 28 18 89 49  2 51 31 67 81 19 75 92 37 25 46 84 85 14 56 76 79 88 10
  5 12  6 60]",800,500,0.2,30,205.05589818954468
80,348.03859054423003,"[17 96 30 70 60  6 12 62  5 26 50 67 31 51 49  9 86  8 32 97 56 13 14 33
 44  7 85 91 63 11 41 61 74  1 43 94 27 19 81 90 65 15 78 47  0 16 55 57
 36 39 66 92 25 37 75  4 79 95 42 24 29  2 76 88 64 82 87 38 68 45 52 59
 18 28 35 22 89 10 58 20 77 71 40 73 80 53 83 72  3 34 48 69 99 84 93 46
 54 23 98 21]",800,500,0.2,30,204.08524990081787
