Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
27,430.97059534433834,"[ 1 42 82 84 98 45 21 74 32 12 75 67 17 40 69 81 68 93 14 95 78 72 23 71
 48 47 49 41 18 22 30 55 88 91 58 29  6 46 10  8 28 39 44 57  9 64 85 94
 59  2 90 62 33 86  7 61 19 54  4 99 16 65 31  5 25 87  3 15 56 37 77 76
 97 20 26 66 70 80 36 38 92 34 53 11 43 89 96 24 51 73 50  0 52 83 63 13
 79 60 35 27]",3500,400,0.95,200,0.21113181114196777
91,445.0138602067302,"[31 50 81 47 12 67 75 69 49 45 21 74 32 48 71 55 88 46 10 76 51 73 64 15
  3 87 37 89 96 18 41 23 68 82 84  1  5 95 14 35 44 94 26 25 42 98 72 70
 66 53 79 86 16  8 61  7  6 90 62 63 83 99 13 33  2 59 60 11 20 91 52 30
 27 85 78 93 97 43 22  0 77 56 40 17 24 65 19 28 92 29 58 38 36 80 34 57
 39  9 54  4]",3500,400,0.95,200,0.2136833667755127
14,450.11086512931405,"[32 21 74 45 49 48 71 23 22  0 51 24 65 19 31 76  8 86 62 90 59 33 79 13
 99 83  4 54 63  2 58 29 92 96 18 89 69 37 56 35 36 38 28 61  7 16 50 43
 60 53 34 39 57 44  9 72 98 87 75 12 67 85 66 70 80 10 52  6 46 73 30  5
  1 26 27 97 11 20 64 78 42 25 82 84 88 55 81 77 41 40 17 47 15  3 95 14
 93 68 94 91]",3500,400,0.95,200,0.40169739723205566
39,453.06988577596246,"[62 53 92 80 91  5  1 66 70 75 12 67 47 17 35 28 83 63 13  2 59 58 33 79
 86 90 29 38 36 34 44 60 57 39 43 41 37 18 22 97 87 15  3 78 94 88 10  6
 61  0 74 32 21 24 73 19 31 65 51 50 46 96 89 40 45 48 71 69 49 23 56 11
 27 93 95 26 85 14 98 42 72  9 64 20 30 55 52 16 54  4 99  8  7 76 81 77
 68 25 82 84]",3500,400,0.95,200,0.22551941871643066
15,453.54339409660327,"[66 64 27 93 55 33  2 59 92 63 99 86 79 13 60 35 91 11 94 85 78 98 42 26
 22 41 89 18 51 65 19 31 76 39 34 57 80 36 38 58 29 53 90 62 28  6 73 24
 21 74 32 45 48  3 72  5  1 25 82 84 70 52 16  8 83  4 10 97 96 69 49 71
 46 50 54  7 61 88 14 87 15 95 47 40 17 67 12 75 68 20 44  9 30 81 77 37
 56 23 43  0]",3500,400,0.95,200,0.3947887420654297
71,458.46369257943246,"[31 24 96 49 23 37  0  4 99 79 63 59  2 62 33 13 16 34 44 64 60 90 86 83
 28 76 54 50 46 73  6 35 39 53 29 58 92 38 70 66 95 14 93 26 27 22 81 48
 71 69 56 77 18 52  8  7 61 19 65 51 41 89 43 55 20 11 88 97 17 45 32 40
 87 15 72  3 47 74 21 12 75 67 10 30 80 36 82 84 25 78 94 57  9 91 68 85
  5  1 42 98]",3500,400,0.95,200,0.21590399742126465
35,461.5175440976087,"[42 78 95  3 87 12 21 45 40 17 77 56 23 49 69 71 37 81 91 93 14 68 94 27
 26  5  1 98 85 20 28 60 90 16  8 83 63 44 39 72 15 47 48 67 75  0 30 10
 43 22 97 52 86 79 13  4 89 73 51 50 46 41 18 32 74 96 24 65 19 76 55 84
 82 25 70 66 64 80 38 58 29 92 34  2 59 62 33 53 36 88 11 35  9 57  6 99
 54  7 61 31]",3500,400,0.95,200,0.22549772262573242
18,462.8517001991019,"[89 96 35 39 36 29 59  2 60 30 43 56 48 47 12 75 67 71 97 55 34 38 92 58
 53 91 18 24 32 45 74 21 69 17 40 73 10 20 93 14 95 84 25 82 15 87  3 68
 94 85 78 72  5  1 88 61 54 52  6  7 86 63 13 99  4 28 64 42 98 26 27 57
  8 16 33 80 66 70 44  9 62 90 79 83 76 19 31 65 51 50 46  0 81 37 77 23
 49 41 22 11]",3500,400,0.95,200,0.2155466079711914
81,463.4577448637942,"[60 28 52 88 30 91 82 84 70 58 29 34 11 97 81 75 12 67 47 48 71 49  0 46
  6 10 22 89 17 40  3 85 94 26 27 61  8  7  4 54 16 76 79 86 53 44  9 39
 64  5  1 98 42 72 78 95 23 69 56 77 24 51 65 31 19 18 14 15 87 37 41 96
 74 21 32 45 73 50 43 55 68 93 36 92 38 59  2 62 33 90 57 80 25 66 20 35
 63 13 99 83]",3500,400,0.95,200,0.22383403778076172
94,464.68243287515776,"[24 51 18 37 85 26 94 70 80 38 36 66 82 84 78 11 54  4 99 63 90 53 39  9
 68 95 93 27 20 64 97 55 30 65 31 13 33 62 59 58 29  2 79 86 83 46 73 96
 89 81 28 60 35 91 88 50  0 43 34 92 44 57 52 19 76 10  1  5 98 72 15 87
 14 71 48 47 67 74 32 12 75 17 69 40 21 45 49  6  8 16  7 61 22 56 41 23
 77  3 42 25]",3500,400,0.95,200,0.24042367935180664
