Execução,Distância Total,Melhor Caminho,Tempo de Execução
37,322.00648714339565,"[40 46  6 54 68 10 30 92 27 94 53  5 58 79 90 84 45 52 80 39 18 55 36 48
 12  1 59 78 69 50  3 19 29  9 26 17 21 43 32 38 66  7  8 37 31 89 47 96
 73 83 71 64 65 87 74 85 98  4 13 24 15 88 95 70 63 86 62 20 97 61 57 75
 51 82 91  2 67 42 76 81 11 72 99  0 14 77 22 23 60 44 41 16 28 49 56 33
 35 93 25 34]",31.085644721984863
68,341.88056202340084,"[58  5 68 51 57 61 91  2 33 21 43 32 38 16 42 82 46 40  6 54  0 81 24 55
 18 39 80 45 52 10 30 99 90 84 63 13 83 69 65 87 59 98 47 41 28 67 60 23
 77 22 79 92 53 94 72 11 36 48 86 62 20 14 27 75 97 76 96 73 70 12 15  1
 88 95  3 19 29 64 74 85  9 31 37  8 44  4 71 50 78 26 17 89 49  7 66 56
 35 93 25 34]",38.40590953826904
66,347.71689602342207,"[ 0 14 63 70 83 13 45 52 39 80 11 24 15 36 18 55 48 12 88 95  1  5 58  6
 40 46 54 68 53 94 57 61 42 67 21 43 32 38  9 74 87 65 19  3 50 71 96 86
 62 76 97 20 73 64 29 69  4 23 60  2 35 93 34 25 33 49 16  8 37 31 89 17
 26 78 98 47 44 41 28 66  7 56 91 82 51 75 27 92 30 10 79 99 72 84 90 22
 77 81 59 85]",30.91140127182007
91,357.72432794929364,"[ 0 14 77 22 36 55 18 39 52 45 90 84 63 13 98 59 17 47  4 24 48 12 15  1
 83 78 26 85 69 64 65 87 74  9 61 57 51 75 54 58  5 68 53 94 27 92 30 10
 79 99 72 80 11 81 23 60  8 37 31 89 44 41  6 40 46 82 91 21 43 32 38 16
 28 66  7 56  2 97 20 86 96 62 76 42 34 25 93 35 33 49 67 73 70 88 95 71
 50  3 19 29]",28.910001516342163
45,359.8543709011942,"[91 57 75 51 82 54 46 40  6 77 22 90 84 80 39 18 55 23 60  2 35 34 25 93
 33  7 66 38 32 43 21  9 85 26 78 31 89 17 59 64 29 19 36 11 72 52 10 30
 79 92 58  5 68 53 94  0 14 70  1 88 44 37  8 41 16 28 49 56 67 42 76 81
 48 12 95  3 50 71 99 45 27 61 97 20 62 86 73 96 47 98  4 83 13 63 24 15
 69 74 87 65]",29.858129262924194
3,361.3357642714917,"[21 43 32 38 16 41 44 89 17 85 74 87 65 29 19 36 55 18 39 80 48 12 15 50
 71 63 90 84 24 88 95  1 70 13 73 96 86 62 76 23 60 67 42  5 58  6 40 46
 54 59 78 26 69 83 97 61 57 27 75 51 82 34 25 93 35 91 30 10 22 77  0 14
 20  2 33 56 66  7 49 28  8 37 31  9 64  3 11 72 99 79 94 53 68 92 52 45
 81  4 98 47]",34.87826490402222
35,367.7125040267334,"[19 29 64 83 96  2 35 34 25 93 41 47 73 80 39 18 55 48 12 15 63 66  7 33
 67 23 76 20  0 68  5 58 54  6 40 46 82 61 97 42 91 57 51 75 53 94 27 14
  4 59 85 26 78 17 89  8 37 31  9 74 65 87 69 95 88 36 11 10 30 92 79 77
 62 86 60 56 49 28 44 98 71 50  3 81 22 45 52 72 99 90 84 24  1 70 13 16
 38 32 43 21]",30.05561661720276
94,368.26966056524384,"[37  8 16 28 23 76 20 62 86 47 41 32 21 43 38 66  7  2 97 92 30 10 79 24
 12 15  1 88 95 69 87 65 74  9 17 31 89 44 98  4 83 22 77 61 57 75 27 14
  0 58  6 46 40 18 55 48 70 13 63 90 84 11 80 39 36  3 50 71 59 78 26 85
 64 29 19 72 52 45 99 81 73 96 60 34 25 93 35 91 82 51 94 53 68  5 54 33
 56 49 67 42]",32.3632709980011
11,369.5488252506472,"[54 58  5 68 52 45 27 57 61 97 20 76 23 60 44 47 50  3 19 29 64 85 78 26
  9 74 65 87 69 71 81 79 10 30 92 53 94 99 11 18 55 39 80 72  6 40 46 91
  2 33 56 49  7 66 38 16 28 41  8 37 21 43 32 31 89 17 59 98  4 83 63 24
 12 15  1 88 95 70 13 73 82 51 75  0 14 42 34 25 93 35 67 48 36 84 90 22
 77 62 86 96]",35.07374882698059
24,372.0520969180289,"[34 25 93 35 76 86 96 47 44 17 89 31  8 37 21 43 32 38 91 46 40  6 54 53
 99 72 48 36 55 18 39 80 11 23 60 66  7  2 67 42 61 97 22 77  0 27 94 75
 14 20 62  4 98 50 71 73 81 45 52 10 30  3 64 87 65 19 29 49 56 33 28 16
 41 59 78 26  9 85 74 69 95 88  1 83 13 24 12 15 70 63 84 90 79 92 68  5
 58 82 51 57]",32.98031544685364
