Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
9,319.83620409850363,"[31 65 19 54  8  7 61 76 50 46  0 18 77 37  3 15 87 98 72 85 94 27 97 22
 73 51 24 96 89 41 49 69 48 47 67 71 23 56 68 93 14 95 78 42 25 84 82  5
  1 38 53 29 58 92 34 44 60 28 90 63 13 79 86  2 59 62 33 36 80  9 57 39
 35 20 64 66 70 26 11 52  6  4 99 83 16 10 43 81 40 17 45 21 74 32 12 75
 91 88 30 55]",800,500,0.2,30,190.18608856201172
2,326.7029024038808,"[ 1  5 42 72 78 95 93 11  9 57 39 34 53 59  2 62 90 52  6 76 54  7 61  8
 16  4 99 83 63 13 79 86 33 44 80 64 20 27 26 94 85 14  3 15 87 98 25 84
 82 66 70 35 60 28 30 55 97 22 81 77 37 41 21 74 17 47 48 71 69 49 23 56
 18 89 96 24 73 46  0 40 45 32 12 67 75 68 91 88 10 19 31 65 51 50 43 36
 38 92 58 29]",800,500,0.2,30,191.14209270477295
1,327.15091573014354,"[19 31 65 76  7  8  4 54 61  6 10 43 35 44 20 11 91 88 30 55 97 22 50 46
 73  0 37 23 12 75 67 47 71 56 41 89 96 18 24 51 16 83 99 63 13 79 86 33
 62 58 92 36 80 64 26 94 60 53 34 39 93 14 95 78 72  3 87 15 48 17 45 32
 74 21 40 69 49 77 81 68 98 42 25 82 84  5  1 66 70 85 27  9 57 38 29 59
  2 90 28 52]",800,500,0.2,30,192.2710349559784
48,329.9448117974574,"[24 31 65 19 79 86 13 63  4 54  7 61 76 51 73 46 50 10 52 35  9 57 34 44
 39 88 30 97 55 18 89 96 41 37 48 47 12 75 67 15 87  3 78 85 26 94 27 11
 91 43  0 22 68 23 71 17 40 49 56 77 81  6  8 16 83 99 28 60 53 29 58 92
 38 36 80 64 70 66 72 42 25 82 84  1  5 98 45 74 21 32 69 95 14 93 20 90
 62 33  2 59]",800,500,0.2,30,190.3824212551117
17,330.408448369147,"[12 75 67 47 48 69 45 74 32 21 17 40 49 41 24 65 31 19 76  6 52 60 16  8
  4 54  7 61 51 73 50 46 43 97 81 56 23 37 71 93 95 72 42 98 25 78 85 26
 94 64 57 58 29 39 92 53 90 28 88 11 30 55 22 89 96 18  0 10 83 99 63 13
 79 86 33 62  2 59 34 44  9 35 91 27 20 80 38 36 70 66  1  5 82 84 87 15
  3 14 68 77]",800,500,0.2,30,188.18121600151062
92,331.18795758347255,"[19 31 65 51 96 89 41 17 45 74 21 32 12 47 48 71 23 37 77 81 68 93 26 70
 66 25 82 84  1  5 98 42 72 78 85 67 75 15 87  3 95 14 20 39 79 63 13  2
 59 86 83 99  4 54  7 76 43 56 40 69 49 18 46 50 10 52 28 60 90 33 62 34
 44  9 57 80 64 94 27 11 91 97 22  0 55 30 88  6 61  8 16 53 92 38 36 58
 29 35 73 24]",800,500,0.2,30,203.07160258293152
68,331.42392620989216,"[26 94 27 22 18 89 73  0 10  7  8 16 83 99  4 54 61 76  6 52 43 55 30 91
 35 39  9 53 29 58 36 80 64 85 78 72 42  1  5 84 82 25 98 87 15  3 57 44
 34 92 38 20 11 97 81 77 37 49 69 40 23 56 41 96 24 51 28 60 88 68 93 95
 48 47 67 75 12 32 21 74 45 17 71 14 66 70 46 50 65 31 19 63 13 79 86 90
 62 33  2 59]",800,500,0.2,30,191.16797757148743
64,332.3065448453443,"[12 75 67 47 48 15 87  3 56 77 37 23 71 17 45 21 74 32 40 69 49 68 93 14
 95 81 18 41 89 96 24 73 10  6 76  8 16 13 63 83 99  4 54 31 65 19 51 50
  0 22 55 30 88 91 44 57  9 34 29 58 92 64 42 72 98 25 82 84  1  5 36 38
 53 60 28 97 43 46  7 61 52 11 27 94 85 78 26 20 39 59  2 62 33 79 86 90
 35 80 70 66]",800,500,0.2,30,190.48074340820312
37,334.73601329887134,"[59  2 50 46 73 18 89 96 51 19  4 13 33 90 53 38 36 80 66 70  5  1 84 82
 25 95 14 68 93 27 20 11 91 88 30 43 76  6 10  0 22 41 23 37 77 81 56 40
 71 48 47 17 45 74 21 32 49 69 97 55 52 28 62 29 58 92 34 44  9 57 39 63
 83 99 54  7 61  8 16 86 79 60 35 64 26 94 85 78 72 42 98 15 87  3 67 12
 75 24 65 31]",800,500,0.2,30,192.92721843719482
78,335.06772285760104,"[31 65 19 54  4 99 63  2 59 29 58 92 53 34 44 57  9 91 88 97 81 23  3 15
 87 95 14 27 80 36 66 70 94 68 93 85 78 72 42 25 82 84  5  1 38 90 62 33
 13 79 86 83 16  8 28 60 10  0 73 24 96 89 18 41 49 69 48 47 26 64 39 35
 20 11 30 55 22 77 37 40 17 45 21 74 32 12 75 67 71 56 46 50 51  7 61 76
  6 52 43 98]",800,500,0.2,30,190.5476336479187
74,336.0950685460253,"[34 92 58 38 36 68 93 14 95 71 69 49 40 45 32 12 75 67 98 72 42 82 25 84
  5  1 66 70 80 64 27 20 35 39 44 53 29 59  2 33 62 90 79 13 63 86 16  8
  7 61 76 50 46 73 24 51 31 65 19  0 30 11 91 88 55 22 18 77 81 56 23 47
 48 97 43 10  6 52 28 60 57  9 26 94 85 78  3 15 87 37 41 89 96 54  4 99
 83 17 21 74]",800,500,0.2,30,191.05635905265808
4,338.25021061578275,"[82 84  1  5 78 87 15  3 75 67 95 85 70 66 36 38 92 58 29 53 34 80 64 26
 94 27 93 71 48 17 40 69 49 23 56 68 14 72 42 25 98 97 55 30 91 35  9 57
 39 44 33 90 60 10 50 19 31 65 24 96 89 18 41 47 12 32 74 21 45 37 77 81
 22 88 28 86 79 63 13  2 59 62 83 16  8  7 76  6 52 20 11 43  0 46 73 51
 61 54  4 99]",800,500,0.2,30,191.71124505996704
86,338.71015877578685,"[59  2 90 60 28 86 79 13 63 83 99  4 31 65 19 52 88 30 55 97 10  6 76 51
 73 96 89 24 18 41 47 48 71 23 37 81 22  0 43 11 27 93 95 78  3 87 15 67
 75 12 32 45 74 21 17 40 69 49 56 77  7  8 16 20 64 70 66 26 94 85 14 68
 61 54 33 62 29 58 53 34 44 92 38 36 80 57  9 39 35 91 50 46 25 82 84  1
  5 72 42 98]",800,500,0.2,30,189.51383090019226
16,338.84086169160156,"[24 96 89 41 49 40 12 75 67 17 71 23 37 77 81 22 97 43 10 52 28 53 92 38
 34 88 30 55 94 78 72 87 15  3 95 93 66 70 80 64 20 11 91  0 46 50 51 73
 18 56 68 14 98 25 82 84  1  5 42 85 26 27  6  7 54 83 99 86 79 90 29 58
 36 44 57  9 35 76 19 31 65 61  8 16  4 63 13 33 59  2 62 60 39 48 47 69
 45 21 74 32]",800,500,0.2,30,190.0126326084137
82,339.3176333935956,"[73 50 46  0 43 10  6  7 54  4 99 63 86 79 13 90 29 58 44 34 28 52 20 64
 80 66 70 25 42 85 93 32 21 74 45 17 71 23 56 81 18 22 30 91 11 35 39 57
  9 88 55 97 76 16  8 83 33  2 59 62 61 19 31 65 51 24 96 89 41 77 37 49
 69 40 48 47 12 75 67 95 14 26 94 27 68  3 15 87 98 82 84  1  5 72 78 60
 53 92 38 36]",800,500,0.2,30,145.88911056518555
