Execução,Distância Total,Melhor Caminho,Tempo de Execução
92,348.7816830542387,"[74 21 23 56 37 77 81 46 50 76 61  4 54 73 24 45 32 12 17 40 49 69 47 48
 95 14 93 94 26 20 11 43  0 18 41 22 97 78 72  5 66 70 85  3 15 87 98 42
 25 82 84  1 36 38 58 29 34 44 39 53 59  2 33 62 92 80 64 27 68 75 67 71
 89 96 51 31 65 19 99 83 16  8  7  6 88 30 55 91  9 57 35 10 52 28 60 90
 86 79 13 63]",34.36701464653015
83,351.25850676027903,"[12 17 69 49 23 56 48 47 15 87  3 68 93 14 95 71 40 32 21 74 45 37 44 34
 53 90 33 62 29 58 92 38 36 80 64 20 11 91 35 39 57  9  0 18 41 89 96 24
 31 65 19 51 73 46 50 76 79  2 59  6 10 43 97 85 78 72 42 98 25 82 84  5
  1 66 70 26 94 27 55 30 88 60 28 52 81 67 75 77 22 86 13 63  7 61  8 16
 54  4 99 83]",36.60011577606201
22,353.31577273123395,"[66 70 80  9 57 34 38 36  1  5 71 69 49 24 31 65 19 76  6 52 35 20 91 88
 50 46  0 43 10 60 62 59  2 33 83 99  4 54  7 22 56 23  3 87 15 40 17 32
 21 74 45 51 61  8 16 28 86 79 13 63 90 53 29 58 92 44 39 64 68 48 47 12
 75 67 95 14 93 26 94 85 78 72 42 98 25 82 84 27 11 30 55 97 81 77 37 41
 89 96 18 73]",39.63997507095337
82,354.37956509075116,"[33 62 90 16  8 83 99  4 54 19 65 31 24 96 89 18 41 49 69 71 23 56 66 70
 64  9 57 44 34 53 38 92 58 29  2 59 36 80 39 35 91 10  6  7 61 76 22 40
 45 74 21 32 17 48 47 12 75 67 81 43 88 30 55 97 27 42 25 82 84 78 95 14
 68 93  5  1 26  0 46 50 11 20 94 85 72 98 87 15  3 37 77 60 86 79 13 63
 28 52 73 51]",29.39700198173523
72,359.2651454104101,"[26 94 85  5  1 98 73 51 31 65 19 61  7 76 40 17 32 21 74 45 49 69 71 48
 47 15 87  3 95 14 93 78 72 42 25 82 84 66 70 36 92 53 62 86 79 33  2 59
 34 44 29 58 38 80 64 20 50 46 41 23 56 68 27 11 55 97 81 37 77 22 91  9
 57 39 35  0 18 89 96 24  8 16 63 13 90 60 28 52 88 30 43 10  6 54  4 99
 83 67 75 12]",36.323185205459595
6,359.3186404472691,"[53 34 44 57  9 26 94 27 11 30 55 97 43 10 76  6 52 90 86 79 13 33 62  2
 59 64 84 82 25 87 15  3 95 14 20 39 60 28 35 91 88 50 46  0 12 75 67 81
 22 61  7  4 99 63 83 16  8 54 19 31 65 51 73 41 49 69 40 48 71 23 56 37
 77 68 93 85  5  1 66 70 80 36 38 58 29 92 45 74 21 32 17 47 98 42 72 78
 18 89 96 24]",38.26324701309204
94,360.1078966963891,"[83 16  8 85 72 42 25 82 84 98 67 75 12 37 41 89 96 24 45 74 21 32 17 40
 71 48 47 15 87  3 93 64 80 58 29 59  2 62 33 86 79 13 63 99  4 54  7 61
 76 88 30 91 35 39  9 55 97 81 77 18 73 10 60 34 44 57 20 26 94 27 43 50
 46  0 22 68 14 95 78  5  1 36 38 92 53 90 28 52  6 19 31 65 51 11 70 66
 56 23 49 69]",32.91523098945618
12,364.4042736808177,"[66 70 80 57 39  9 64  1  5 42 98 87 15  3 14 65 31 19 61 10 88 91 11 27
 26 94 78 72 25 82 84 85 93 55 30 44 34 53 52 43  0 73 46 50  6 76 51 24
 96 89 18 77 68 95 71 32 21 74 45 23 56 81 36 38 92 58 29 59  2 79 86 97
 48 47 67 75 12 17 40 69 49 37 41 22 28 60 83 16  8  7 54  4 99 63 13 33
 62 90 35 20]",33.509323596954346
13,365.0204723233927,"[14 95 78 42 25 82 84  5  1 66 70 85 72 98  3 47 48 71 91 35 39 34 44 57
  9 23 45 74 21 32 40 69 52 28 86 79 63 13 33  2 59 62 73 51 31 65 19 61
 76 50 46  0 43 88 30 55 68 93 27 20 11 97 81 77 18 41 37 56 22 10  6  7
 54  8 16 60 92 58 29 90 83 99  4 53 38 36 80 64 26 94 89 96 24 49 17 12
 75 67 15 87]",34.63208246231079
10,365.5058843577828,"[48 17 32 21 74 45 40 41 89 18 77 81 14 95 47 12 75 67 98 25 82 84 20 11
 91 88 30 55 97 43 22  0 10 76  8 16  6 52 28 60  2 59 29 58 92 38 36 80
 51 31 65 19 54  7 61 96 24 73 46 50  4 99 83 63 13 79 86 90 53 34 39 35
 87 15  3 23 56 68 93 85 70 66  1  5 42 72 78 62 33 44 57  9 64 26 94 27
 37 49 69 71]",31.363319158554077
