Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
14,442.4358372789435,"[ 3 72 98 78 26 11 27 68 14 22  0 43 88 56 18 24 96 89 50 10 76 65 31 19
 74 21 17 32 45 49 12 75 67 69 37 41 73 51 46 70 66 85  5  1 42 82 84 25
 81 40 47 48 95 93 94 55 30 97 28 20 64 44 39 52  6 91 35 57  9 80 36 34
 16  7  8  4 61 54 99 87 15 71 23 77 83 79 13 63 86 33 59  2 62 60 90 53
 38 92 58 29]",3500,400,0.95,200,0.21442484855651855
69,457.4481940146933,"[44 57 39 53 29 34 92 38 36 66 98 72 78 27 91 11 26 94  3 15 87 25 82 84
 42 32 21 74 45 17 47 48 71 97 77 23 69 40 12 67 75 49 96 18  6 61 16 60
  9 80 58 46 73 24 70  1  5  7  4 54  8 90 62 59  2 63 13 79 83  0 89 41
 95 85 93 14 51 31 65 19 86 33 28 52 10 55 30 88 35 64 20 68 56 37 81 22
 43 50 76 99]",3500,400,0.95,200,0.20444655418395996
66,459.33453078022836,"[17 46  7 61 55 43 71 12 75 67 47 48 14 81 69 49 37 77 56 68  5 25 84 82
 98 66 70 94 26 64 44 57  9 58 92 52  0 41 18 51 73 96 89 22 35 39 88 97
 30 27 95  3 15 72 87 32 21 74 45 40 23 24 31 65 19 50 76  6  4 99 16 83
 86 79 60 10  8 54 90 59 36 80 62 33 13 63 28 11  1 42 78 85 93 20 91 38
 29  2 53 34]",3500,400,0.95,200,0.20438766479492188
60,460.21490214794636,"[ 2 62 33  4 54 23 56 71 48 20  9 57 39 35 28 53 44 80 64 15 87  3 68 26
 94 95 78 85 93 14  0 18 22 97 55 96 89 81 70 66 42 72 11 91 51 73 24 43
 50 46 41 47 17 21 32 12 67 75 40 69 49 45 74 98  5  1 25 82 84 59 86 90
 52 60 16  8 61  7 83 99 63 13 79 29 58 34 27 88 37 77 30 10 76 19 65 31
  6 92 36 38]",3500,400,0.95,200,0.22657179832458496
13,460.81615464375477,"[12 45 40 17 74 21 32 75 15 87 78 56 22 97 55 43  0 89 71 48  3 98  5  1
 84 26 93 68 88 11 20 64 94 85 14  7  8 54 24 49 47 67 69 96 73 63 13 79
 99  4 86 59 36 80 27 39  6 16 90 62 58 33 83 61 76 19 65 31 51 50 52 30
 81 77 37 23 41 18 95 72 42 25 82 66 70 35 91 46 10 28 60 44  9 57 29 92
 34 38 53  2]",3500,400,0.95,200,0.22377490997314453
49,460.9847365853898,"[12 75 67 47 48  3 68 81 77 55 30 34 44 61 51 24 96 41 40 74 21 45 32 49
 78 98 25 82  1  5 85 20 43 22  0 50 73 18 27 94 26 14 97 52  6  8  7 54
  4 16 33 62 53 58 80  9 72 42 84 92 38 36 37 89 46 76 86 79 90 28 35 70
 66 56 23 69 17 71 15 87 95 93 11 91 88 10 65 31 19 99 83 39 57 29 59  2
 13 63 60 64]",3500,400,0.95,200,0.2102656364440918
82,461.6352536906937,"[66 70 33 83 99 16  2 59 53 62 90 94 72 98  3 71 12 75 67 35 39 34 44  9
 57 20 91 11 81 37 56 41 24 31 65 19  6 10 28 60 52 46 50 18  0 68 42  5
  1  8 54  4  7 48 47 14 64 80 38 92 29 58 36 84 82 25 78 93 97 43 51 76
 61 73 89 96 49 45 21 32 17 74 40 69 23 77 22 55 30 88 95 15 87 85 26 27
 86 79 63 13]",3500,400,0.95,200,0.40351295471191406
47,465.5671512413862,"[16 83 76 54 89 96 24 73 46 10 55 27 20 39 33 62 86 79 63 99  4  7 52 77
  3  1 84  5 66 70 91 11 26 94 85 14 87 98 25 82 72 78 80 57  9 59  2 92
 60 28 53 38 36 34 44 64  6 51 31 65 19 50  0 22 43  8 61 88 30 56 32 21
 74 45 71 42 15 67 47 48 40 17 12 75 95 93 97 23 69 49 37 81 68 58 29 13
 90 35 18 41]",3500,400,0.95,200,0.24474215507507324
67,465.7858505318945,"[50  6 99 63 86 83 19 65 31 51 46 18 49 45 40 17 47 69 23 71 48 95 14 93
 20 64 27 42 72 67 75 12  3 98  5  1 82 84 25 78 85 10  8  7 76 52 35 60
 33 62 59  2 90 92 34  9 57 44 38 36 80 39 11 68 15 87 37 41 26 94 91 29
 58 53 28 79 13 88 77 81 22 73 61 16  4 54  0 43 74 21 32 97 30 70 66 55
 56 89 24 96]",3500,400,0.95,200,0.23876357078552246
84,466.7635455202549,"[66 70 20 64 36 92 33 63  4 99 83  6 52 10 46 73 55 72 42 78 15 87  3 95
 85 93 94 27 41 40 47 12 17 89 96 24 51 65 31 54 16 19 50  0 43 91 38 58
 29 35 11 30 97 23 49 69 67 75 28 59  2 13 79 60 62 90 53 86  8 61  7 76
 26 25 82 84 45 74 21 32 98  1  5 48 71 37 18 22 81 77 56 68 14 80 57 39
 34 44  9 88]",3500,400,0.95,200,0.39253664016723633
45,467.4492012041981,"[24 41 69 71 48 12 45 32 74 73 10 35 89 96 51 65 31 19  0 18 37 77 56 23
 93 26 94 25 82 84  3 78 92 58 76 46 50 30 44 62 33 13 86 79 63 53 29 34
  9  1  5 98 42 72 85 20 39 60 28 52  6 81 49 21 17 40 90 83 99 54  4  8
 16  7 61 57 88 43 22 47 75 67 97 55 68 95 15 87 14 66 70 36 64 27 11 91
 80 38  2 59]",3500,400,0.95,200,0.22503209114074707
68,474.46615063656645,"[ 2 33 13 83 16  4 28 60 20 35 30 97 55 43 46 50 52 10  6 45 21 23 56 92
 38 66 70 39 53 91 11 88 73 22 81 76 99 63 79 86 90 59 62 68 17 47 25 82
 87 67 32 74 40 41 18 96 89 24 12 75 48 78 93 14 72 98 84  5 42  1 26  9
 44 34 57 29 58 36 80 64 85 27 94 95  3 15 71 69 49 37 77  0 51 19 31 65
 54 61  7  8]",3500,400,0.95,200,0.22449254989624023
15,474.9923616123382,"[ 1 42 25  5 26 14 35 20 94 84 82 36 38 29 53 57  9 52 10 61 16  8  7 50
 46 22 11 91 43 65 31 19 76 30 55 56 37 23 40 71 97 34 58 92 88 47 48 75
 12 67  3 87 15 89 96 24 51 73  0 81 72 98 95 69 49 77 41 99 86 33 59  2
 60 39 66 70 85 78 27 68 93 90 13 63 79 83  4 54  6 28 62 44 80 64 18 21
 32 74 45 17]",3500,400,0.95,200,0.20417118072509766
19,475.73904233398014,"[ 3 48 47 77 56 37 24 51 46 95 68 14 10  8 16 38 36 39  9 20 26 27 97  6
  4 99 60 28 43  0 18 41 76 54 63 90 83 30 74 21 45 71 23 75 67 17 40 81
 22 35 44 34 53 29 58 92 33 13 86 79  2 59 62 64 70 66 25 82 84 80 57 19
 31 65 12 32 69 49 96 89 73 50 88 91 11 52  7 61 55 94 85 93 98  1  5 72
 42 78 15 87]",3500,400,0.95,200,0.23388981819152832
4,475.9882183052826,"[ 4 99 63 61 88 11 27 94 20 62 60  1  5 36 33 79 13 86 35 91 30 43 10 70
 66 80  9 64 26 68 71 48 47 75 12 67 14 85 82 84 25 78 81  8 54  7 51 73
 96 17 74 21 32 45 77 50  6 52 34 44 53  2 59 29 92 38 58 39 57 93  3 15
 87 49 69 40 41 89  0 22 95 42 98 72 37 23 56 18 76 16 28 90 83 31 19 65
 24 46 55 97]",3500,400,0.95,200,0.21225643157958984
42,476.0142525084967,"[29 44 35 41 89 96 49 69 71 48 25 82 84  1 27 26 14  3 87 98  5 80 90 62
 33 63 28 53 58 92 70 66 64  9 39 19 31 65 51 24 47 67 56 97 20 30 18 73
 46 22  6 99  4 54 61  8 16 83 79 86 13 76  7 10 94 95 42 72 78 68 93 81
 23 40 32 12 75 15 85  2 59 60  0 50 43 55 36 38 34 57 88 52 91 11 77 37
 45 21 74 17]",3500,400,0.95,200,0.2295987606048584
54,476.51460441114756,"[ 7 61  8  4 99 83 52 77 37 40 17 23 69 49  3 87 15 14 11 30 88 70 72 26
  2 59 42 98  5  1 25 84 82 93 94 55 43 22 81 68 64 29 58 92 53 34 85 78
 48 71 45 74 21 32 24 19 54 16 28 38 36 66 80 90 60 39 57  9 20 27 13 63
 62 33 91 35 44 79 86 76  6 10  0 46 73 89 18 56 41 96 31 65 51 50 97 95
 67 47 75 12]",3500,400,0.95,200,0.20108461380004883
10,476.63920688033403,"[87 48 71 49 47 69 40 32 45 24 89 96 41 23 95 14 93  5  1 66 53  2 59 62
 33 39 57  9 88 28 60 13 79 90 52 10 65 31 19 34 36 80 64  8 16 27 78 85
 72 68 97 22  0 43 11 35 55 81 77 18 37 94 26 70 25 42 84 82 98 15  3 56
 30 61  7 54  4 63 86 83 99 38 92 29 58 44 12 74 21 91 20  6 76 50 46 51
 73 17 67 75]",3500,400,0.95,200,0.22615528106689453
44,477.40609335779897,"[31 65 19 54 16  7 76 22 37 41 46 10 28 94  5 42 72 39 57 80 64 27 68 71
 47 67 18 86 13 60 30 43 52 83 63 79 38 36 55  0 50 61  8 33 62 58 92 34
 44  9 26 70 66  1 75 12 45 74 21 32 17 95 14 11  4 99 90 53 29  2 59  6
 51 24 73 89 96 69 40 48 23 56 77 81 93 85 78 97 88 35 91 20 15 87  3 84
 82 25 98 49]",3500,400,0.95,200,0.2088613510131836
